element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Pm,61,"=""""","=""""","=""0.02603288""","=""0.00000010""","=""""","=""384129600""","=""""","=""2.2556e+07""","=""4.5834e-02""","=""7.8563e-05""","=""-1.03778""",AA,"=""0""","=""384129600""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Pm,61,"=""""","=""""","=""0.02615001""","=""0.00000010""","=""""","=""382409000""","=""""","=""2.2189e+07""","=""2.2748e-02""","=""3.9167e-05""","=""-1.34202""",AA,"=""0""","=""382409000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Pm,61,"=""""","=""""","=""0.03059057""","=""0.00000014""","=""""","=""326898100""","=""""","=""8.2129e+07""","=""2.3044e-01""","=""4.6415e-04""","=""-0.33641""",AA,"=""0""","=""326898136""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Pm,59,"=""""","=""""","=""0.03075748""","=""0.00000019""","=""""","=""325124200""","=""""","=""""","=""""","=""""","=""""",,"=""[1151000]""","=""(326275200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Pm,59,"=""""","=""""","=""0.03077711""","=""0.00000019""","=""""","=""324916800""","=""""","=""""","=""""","=""""","=""""",,"=""[1151000]""","=""(326067800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Pm,61,"=""""","=""""","=""0.03114189""","=""0.00000015""","=""""","=""321110900""","=""""","=""8.8412e+07""","=""1.2855e-01""","=""2.6358e-04""","=""-0.58991""",AA,"=""0""","=""321110940""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Pm,59,"=""""","=""""","=""0.03122664""","=""0.00000020""","=""""","=""320239400""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""320239400""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Pm,59,"=""""","=""""","=""0.03124928""","=""0.00000020""","=""""","=""320007400""","=""""","=""""","=""""","=""""","=""""",,"=""[6267810]""","=""(326275200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Pm,59,"=""""","=""""","=""0.03125522""","=""0.00000021""","=""""","=""319946600""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""319946600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Pm,59,"=""""","=""""","=""0.03126954""","=""0.00000020""","=""""","=""319800000""","=""""","=""""","=""""","=""""","=""""",,"=""[6267810]""","=""(326067800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Pm,59,"=""""","=""""","=""0.03128837""","=""0.00000020""","=""""","=""319607600""","=""""","=""""","=""""","=""""","=""""",,"=""[1151000]""","=""(320758600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Pm,59,"=""""","=""""","=""0.03128902""","=""0.00000021""","=""""","=""319600900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""319600900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Pm,59,"=""""","=""""","=""0.03130645""","=""0.00000020""","=""""","=""319423000""","=""""","=""""","=""""","=""""","=""""",,"=""[1151000]""","=""(320574000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Pm,59,"=""""","=""""","=""0.03130899""","=""0.00000020""","=""""","=""319397100""","=""""","=""""","=""""","=""""","=""""",,"=""[6267810]""","=""(325664900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
