element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Po,84,"=""""","=""""","=""0.01291963""","=""0.00000012""","=""""","=""774016000""","=""""","=""7.8765e+07""","=""3.9420e-02""","=""3.3533e-05""","=""-1.10325""",AA,"=""0""","=""774016000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Po,84,"=""""","=""""","=""0.01303988""","=""0.00000025""","=""""","=""766878000""","=""""","=""7.5146e+07""","=""1.9156e-02""","=""1.6447e-05""","=""-1.41666""",AA,"=""0""","=""766878000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Po,82,"=""""","=""""","=""0.01481796""","=""0.00000014""","=""""","=""674857000""","=""""","=""""","=""""","=""""","=""""",,"=""[1941600]""","=""(676798400)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01482403""","=""0.00000014""","=""""","=""674580000""","=""""","=""""","=""""","=""""","=""""",,"=""[1941600]""","=""(676521900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Po,84,"=""""","=""""","=""0.01504719""","=""0.00000013""","=""""","=""664576000""","=""""","=""2.7789e+08""","=""1.8866e-01""","=""1.8691e-04""","=""-0.42330""",AA,"=""0""","=""664575750""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Po,82,"=""""","=""""","=""0.01530275""","=""0.00000015""","=""""","=""653477000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""653477400""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01531214""","=""0.00000015""","=""""","=""653076000""","=""""","=""""","=""""","=""""","=""""",,"=""[23722000]""","=""(676798400)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01531863""","=""0.00000015""","=""""","=""652800000""","=""""","=""""","=""""","=""""","=""""",,"=""[23722000]""","=""(676521900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01532123""","=""0.00000015""","=""""","=""652689000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""652689000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01533218""","=""0.00000015""","=""""","=""652223000""","=""""","=""""","=""""","=""""","=""""",,"=""[1941600]""","=""(654164700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01533360""","=""0.00000015""","=""""","=""652162000""","=""""","=""""","=""""","=""""","=""""",,"=""[23722000]""","=""(675884500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01533373""","=""0.00000015""","=""""","=""652157000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""652157100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01534390""","=""0.00000015""","=""""","=""651725000""","=""""","=""""","=""""","=""""","=""""",,"=""[1941600]""","=""(653666200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01535087""","=""0.00000015""","=""""","=""651429000""","=""""","=""""","=""""","=""""","=""""",,"=""[1941600]""","=""(653370600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01535267""","=""0.00000015""","=""""","=""651352000""","=""""","=""""","=""""","=""""","=""""",,"=""[1941600]""","=""(653294100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01535359""","=""0.00000015""","=""""","=""651314000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""651313600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Po,84,"=""""","=""""","=""0.01560915""","=""0.00000014""","=""""","=""640650000""","=""""","=""3.2282e+08""","=""1.1792e-01""","=""1.2119e-04""","=""-0.62740""",AA,"=""0""","=""640649900""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Po,82,"=""""","=""""","=""0.01584936""","=""0.00000016""","=""""","=""630940000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""630940500""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01586187""","=""0.00000016""","=""""","=""630443000""","=""""","=""""","=""""","=""""","=""""",,"=""[23722000]""","=""(654164700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01587442""","=""0.00000016""","=""""","=""629944000""","=""""","=""""","=""""","=""""","=""""",,"=""[23722000]""","=""(653666200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01588187""","=""0.00000016""","=""""","=""629649000""","=""""","=""""","=""""","=""""","=""""",,"=""[23722000]""","=""(653370600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01588380""","=""0.00000016""","=""""","=""629572000""","=""""","=""""","=""""","=""""","=""""",,"=""[23722000]""","=""(653294100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01588502""","=""0.00000016""","=""""","=""629524000""","=""""","=""""","=""""","=""""","=""""",,"=""[1941600]""","=""(631465500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Po,82,"=""""","=""""","=""0.01589164""","=""0.00000016""","=""""","=""629262000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""629261600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
