element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Pr,59,"=""""","=""""","=""0.02793886""","=""0.00000007""","=""""","=""357924400""","=""""","=""1.9775e+07""","=""4.6284e-02""","=""8.5142e-05""","=""-1.03354""",AA,"=""0""","=""357924400""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Pr,59,"=""""","=""""","=""0.02805580""","=""0.00000008""","=""""","=""356432500""","=""""","=""1.9484e+07""","=""2.2992e-02""","=""4.2472e-05""","=""-1.33739""",AA,"=""0""","=""356432500""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Pr,59,"=""""","=""""","=""0.03284977""","=""0.00000004""","=""""","=""304416100""","=""""","=""7.2153e+07""","=""2.3346e-01""","=""5.0494e-04""","=""-0.33077""",AA,"=""0""","=""304416145""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Pr,57,"=""""","=""""","=""0.03308368""","=""0.00000016""","=""""","=""302263800""","=""""","=""""","=""""","=""""","=""""",,"=""[1095990]""","=""(303359800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Pr,57,"=""""","=""""","=""0.03310591""","=""0.00000016""","=""""","=""302060900""","=""""","=""""","=""""","=""""","=""""",,"=""[1095990]""","=""(303156900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Pr,59,"=""""","=""""","=""0.03340038""","=""0.00000005""","=""""","=""299397800""","=""""","=""7.7278e+07""","=""1.2925e-01""","=""2.8423e-04""","=""-0.58755""",AA,"=""0""","=""299397800""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Pr,57,"=""""","=""""","=""0.03355007""","=""0.00000020""","=""""","=""298062000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""298062000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Pr,57,"=""""","=""""","=""0.03357468""","=""0.00000017""","=""""","=""297843500""","=""""","=""""","=""""","=""""","=""""",,"=""[5516300]""","=""(303359800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Pr,57,"=""""","=""""","=""0.03358007""","=""0.00000020""","=""""","=""297795700""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""297795700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Pr,57,"=""""","=""""","=""0.03359757""","=""0.00000017""","=""""","=""297640600""","=""""","=""""","=""""","=""""","=""""",,"=""[5516300]""","=""(303156900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Pr,57,"=""0.033611""","=""0.000008""","=""0.03361745""","=""0.00000020""","=""-0.000006""","=""297520000""","=""g""","=""""","=""""","=""""","=""""",,"=""0""","=""297464600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""L22456,L12462""",
Pr,57,"=""""","=""""","=""0.03361697""","=""0.00000017""","=""""","=""297468800""","=""""","=""""","=""""","=""""","=""""",,"=""[1095990]""","=""(298564800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Pr,57,"=""""","=""""","=""0.03363623""","=""0.00000017""","=""""","=""297298500""","=""""","=""""","=""""","=""""","=""""",,"=""[1095990]""","=""(298394500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Pr,57,"=""""","=""""","=""0.03364112""","=""0.00000017""","=""""","=""297255300""","=""""","=""""","=""""","=""""","=""""",,"=""[5516300]""","=""(302771600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Pr,57,"=""""","=""""","=""0.03365740""","=""0.00000017""","=""""","=""297111500""","=""""","=""""","=""""","=""""","=""""",,"=""[1095990]""","=""(298207500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Pr,57,"=""""","=""""","=""0.03366684""","=""0.00000017""","=""""","=""297028200""","=""""","=""""","=""""","=""""","=""""",,"=""[1095990]""","=""(298124200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Pr,57,"=""""","=""""","=""0.03367858""","=""0.00000020""","=""""","=""296924600""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""296924600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Pr,57,"=""""","=""""","=""0.03408379""","=""0.00000021""","=""""","=""293394600""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""293394600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Pr,57,"=""""","=""""","=""0.03412404""","=""0.00000017""","=""""","=""293048500""","=""""","=""""","=""""","=""""","=""""",,"=""[5516300]""","=""(298564800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Pr,57,"=""""","=""""","=""0.03414389""","=""0.00000017""","=""""","=""292878200""","=""""","=""""","=""""","=""""","=""""",,"=""[5516300]""","=""(298394500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Pr,57,"=""""","=""""","=""0.03415442""","=""0.00000017""","=""""","=""292787900""","=""""","=""""","=""""","=""""","=""""",,"=""[1095990]""","=""(293883900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
