element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Pt,78,"=""""","=""""","=""0.01526832""","=""0.00000012""","=""""","=""654951000""","=""""","=""5.9121e+07""","=""4.1325e-02""","=""4.1544e-05""","=""-1.08276""",AA,"=""0""","=""654951000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Pt,78,"=""""","=""""","=""0.01538762""","=""0.00000017""","=""""","=""649873000""","=""""","=""5.7031e+07""","=""2.0245e-02""","=""2.0511e-05""","=""-1.39266""",AA,"=""0""","=""649873000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Pt,76,"=""""","=""""","=""0.01766316""","=""0.00000011""","=""""","=""566150000""","=""""","=""""","=""""","=""""","=""""",,"=""[1705090]""","=""(567855100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Pt,76,"=""""","=""""","=""0.01767115""","=""0.00000011""","=""""","=""565894000""","=""""","=""""","=""""","=""""","=""""",,"=""[1705090]""","=""(567599300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Pt,78,"=""""","=""""","=""0.01783105""","=""0.00000007""","=""""","=""560819500""","=""""","=""2.1066e+08""","=""2.0083e-01""","=""2.3578e-04""","=""-0.39614""",AA,"=""0""","=""560819470""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Pt,76,"=""""","=""""","=""0.01814617""","=""0.00000013""","=""""","=""551080000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""551080500""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Pt,76,"=""""","=""""","=""0.01815780""","=""0.00000012""","=""""","=""550727000""","=""""","=""""","=""""","=""""","=""""",,"=""[17127650]""","=""(567855100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Pt,76,"=""""","=""""","=""0.01816624""","=""0.00000012""","=""""","=""550472000""","=""""","=""""","=""""","=""""","=""""",,"=""[17127650]""","=""(567599300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Pt,76,"=""""","=""""","=""0.01816646""","=""0.00000013""","=""""","=""550465000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""550465000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Pt,76,"=""""","=""""","=""0.01818093""","=""0.00000012""","=""""","=""550027000""","=""""","=""""","=""""","=""""","=""""",,"=""[1705090]""","=""(551731900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
