element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ra,88,"=""""","=""""","=""0.01160925""","=""0.00000016""","=""""","=""861382000""","=""""","=""9.4151e+07""","=""3.8047e-02""","=""2.9082e-05""","=""-1.11865""",AA,"=""0""","=""861382000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ra,88,"=""""","=""""","=""0.0117302""","=""0.0000003""","=""""","=""852501000""","=""""","=""8.9009e+07""","=""1.8361e-02""","=""1.4181e-05""","=""-1.43507""",AA,"=""0""","=""852501000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ra,86,"=""""","=""""","=""0.01323298""","=""0.00000021""","=""""","=""755688000""","=""""","=""""","=""""","=""""","=""""",,"=""[2102400]""","=""(757790000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Ra,86,"=""""","=""""","=""0.01323810""","=""0.00000021""","=""""","=""755396000""","=""""","=""""","=""""","=""""","=""""",,"=""[2102400]""","=""(757498000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Ra,88,"=""""","=""""","=""0.01349419""","=""0.00000023""","=""""","=""741060000""","=""""","=""3.2971e+08""","=""1.8002e-01""","=""1.5994e-04""","=""-0.44366""",AA,"=""0""","=""741059800""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ra,86,"=""""","=""""","=""0.01371838""","=""0.00000021""","=""""","=""728949000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""728949000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ra,86,"=""""","=""""","=""0.01372655""","=""0.00000023""","=""""","=""728515000""","=""""","=""""","=""""","=""""","=""""",,"=""[29275000]""","=""(757790000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Ra,86,"=""""","=""""","=""0.01373206""","=""0.00000023""","=""""","=""728223000""","=""""","=""""","=""""","=""""","=""""",,"=""[29275000]""","=""(757498000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Ra,86,"=""""","=""""","=""0.01373587""","=""0.00000021""","=""""","=""728021000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""728021000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Ra,86,"=""""","=""""","=""0.01374492""","=""0.00000021""","=""""","=""727542000""","=""""","=""""","=""""","=""""","=""""",,"=""[2102400]""","=""(729644000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Ra,86,"=""""","=""""","=""0.01374499""","=""0.00000023""","=""""","=""727538000""","=""""","=""""","=""""","=""""","=""""",,"=""[29275000]""","=""(756813000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Ra,86,"=""""","=""""","=""0.01374661""","=""0.00000021""","=""""","=""727452000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""727452000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ra,86,"=""""","=""""","=""0.01375626""","=""0.00000021""","=""""","=""726942000""","=""""","=""""","=""""","=""""","=""""",,"=""[2102400]""","=""(729044000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Ra,86,"=""""","=""""","=""0.01376196""","=""0.00000021""","=""""","=""726641000""","=""""","=""""","=""""","=""""","=""""",,"=""[2102400]""","=""(728743000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Ra,86,"=""""","=""""","=""0.01376372""","=""0.00000021""","=""""","=""726548000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""726548000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Ra,86,"=""""","=""""","=""0.01376412""","=""0.00000021""","=""""","=""726527000""","=""""","=""""","=""""","=""""","=""""",,"=""[2102400]""","=""(728629000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Ra,88,"=""""","=""""","=""0.0140587""","=""0.0000003""","=""""","=""711305000""","=""""","=""3.8967e+08""","=""1.1546e-01""","=""1.0688e-04""","=""-0.63652""",AA,"=""0""","=""711305300""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ra,86,"=""""","=""""","=""0.01426780""","=""0.00000020""","=""""","=""700879000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""700879000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Ra,86,"=""""","=""""","=""0.01427819""","=""0.00000022""","=""""","=""700369000""","=""""","=""""","=""""","=""""","=""""",,"=""[29275000]""","=""(729644000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Ra,86,"=""""","=""""","=""0.01429043""","=""0.00000022""","=""""","=""699769000""","=""""","=""""","=""""","=""""","=""""",,"=""[29275000]""","=""(729044000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Ra,86,"=""""","=""""","=""0.01429658""","=""0.00000022""","=""""","=""699468000""","=""""","=""""","=""""","=""""","=""""",,"=""[29275000]""","=""(728743000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Ra,86,"=""""","=""""","=""0.01429891""","=""0.00000022""","=""""","=""699354000""","=""""","=""""","=""""","=""""","=""""",,"=""[29275000]""","=""(728629000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
