element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Rb,37,"=""""","=""""","=""0.066723492""","=""0.000000008""","=""""","=""149872252""","=""""","=""2.2356e+05""","=""1.4921e-03""","=""6.5552e-06""","=""-2.52517""",AA,"=""0""","=""149872252""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Rb,37,"=""""","=""""","=""0.067227449""","=""0.000000009""","=""""","=""148748764""","=""""","=""3.5773e+05""","=""2.4239e-03""","=""1.0729e-05""","=""-2.31446""",AA,"=""0""","=""148748764""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Rb,37,"=""""","=""""","=""0.068060820""","=""0.000000009""","=""""","=""146927411""","=""""","=""6.3912e+05""","=""8.8770e-03""","=""3.9780e-05""","=""-1.75070""",AA,"=""0""","=""146927411""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Rb,37,"=""""","=""""","=""0.068082087""","=""0.000000012""","=""""","=""146881510""","=""""","=""6.2569e+05""","=""4.3480e-03""","=""1.9491e-05""","=""-2.06068""",AA,"=""0""","=""146881514""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Rb,37,"=""""","=""""","=""0.069674630""","=""0.000000014""","=""""","=""143524260""","=""""","=""1.2678e+06""","=""1.8454e-02""","=""8.4660e-05""","=""-1.43287""",AA,"=""0""","=""143524264""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Rb,37,"=""""","=""""","=""0.069718253""","=""0.000000017""","=""""","=""143434460""","=""""","=""1.2483e+06""","=""9.0960e-03""","=""4.1755e-05""","=""-1.74012""",AA,"=""0""","=""143434460""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Rb,37,"=""""","=""""","=""0.07343589""","=""0.00000003""","=""""","=""136173200""","=""""","=""3.1056e+06""","=""5.0217e-02""","=""2.4281e-04""","=""-0.99812""",AA,"=""0""","=""136173200""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Rb,37,"=""""","=""""","=""0.07355104""","=""0.00000004""","=""""","=""135960000""","=""""","=""3.0920e+06""","=""2.5077e-02""","=""1.2144e-04""","=""-1.29969""",AA,"=""0""","=""135960000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Rb,37,"=""""","=""""","=""0.086776549""","=""0.000000017""","=""""","=""115238508""","=""""","=""1.1519e+07""","=""2.6009e-01""","=""1.4860e-03""","=""-0.28385""",AA,"=""0""","=""115238507.9""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Rb,37,"=""""","=""""","=""0.087321108""","=""0.000000018""","=""""","=""114519848""","=""""","=""1.1823e+07""","=""1.3515e-01""","=""7.7705e-04""","=""-0.56815""",AA,"=""0""","=""114519848.0""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
