element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Re,75,"=""""","=""""","=""0.01665595""","=""0.00000010""","=""""","=""600386000""","=""""","=""5.0747e+07""","=""4.2212e-02""","=""4.6293e-05""","=""-1.07353""",AA,"=""0""","=""600386100""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Re,75,"=""""","=""""","=""0.01677484""","=""0.00000015""","=""""","=""596131000""","=""""","=""4.9176e+07""","=""2.0746e-02""","=""2.2914e-05""","=""-1.38204""",AA,"=""0""","=""596131000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Re,73,"=""""","=""""","=""0.01934642""","=""0.00000013""","=""""","=""516891000""","=""""","=""""","=""""","=""""","=""""",,"=""[1595100]""","=""(518486500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Re,73,"=""""","=""""","=""0.01935564""","=""0.00000013""","=""""","=""516645000""","=""""","=""""","=""""","=""""","=""""",,"=""[1595100]""","=""(518240500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Re,75,"=""""","=""""","=""0.01947582""","=""0.00000010""","=""""","=""513457000""","=""""","=""1.8164e+08""","=""2.0658e-01""","=""2.6490e-04""","=""-0.38388""",AA,"=""0""","=""513457210""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Re,73,"=""""","=""""","=""0.01982802""","=""0.00000015""","=""""","=""504337000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""504336800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Re,73,"=""""","=""""","=""0.01984102""","=""0.00000014""","=""""","=""504006000""","=""""","=""""","=""""","=""""","=""""",,"=""[14480200]""","=""(518486500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Re,73,"=""""","=""""","=""0.01984938""","=""0.00000015""","=""""","=""503794000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""503794100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Re,73,"=""""","=""""","=""0.01985071""","=""0.00000014""","=""""","=""503760000""","=""""","=""""","=""""","=""""","=""""",,"=""[14480200]""","=""(518240500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Re,73,"=""""","=""""","=""0.01986604""","=""0.00000014""","=""""","=""503372000""","=""""","=""""","=""""","=""""","=""""",,"=""[1595100]""","=""(504966700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
