element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Rf,104,"=""""","=""0.0077518""","=""0.0000004""","=""""","=""1290020000""","=""""","=""1.7536e+08""","=""3.1595e-02""","=""1.6126e-05""","=""-1.19935""",AA,"=""0""","=""1290020000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Rf,104,"=""""","=""0.0078764""","=""0.0000007""","=""""","=""1269610000""","=""""","=""1.5616e+08""","=""1.4524e-02""","=""7.5323e-06""","=""-1.53688""",AA,"=""0""","=""1269610000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Rf,104,"=""""","=""0.0089236""","=""0.0000008""","=""""","=""1120620000""","=""""","=""5.9082e+08""","=""1.4107e-01""","=""8.2885e-05""","=""-0.54954""",AA,"=""0""","=""1120620000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Rf,104,"=""""","=""0.0095014""","=""0.0000009""","=""""","=""1052470000""","=""""","=""7.6088e+08""","=""1.0298e-01""","=""6.4424e-05""","=""-0.68622""",AA,"=""0""","=""1052471000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Rf,104,"=""""","=""0.042101""","=""0.000014""","=""""","=""237530000""","=""""","=""7.8793e+07""","=""4.1875e-01""","=""1.1608e-03""","=""-0.07701""",AA,"=""(1052471000)""","=""(1289996100)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Rf,104,"=""""","=""0.042369""","=""0.000015""","=""""","=""236020000""","=""""","=""1.5296e+07""","=""8.2330e-02""","=""2.2968e-04""","=""-0.78341""",AA,"=""(1054000000)""","=""(1290020000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Rf,104,"=""""","=""0.045935""","=""0.000017""","=""""","=""217700000""","=""""","=""3.9151e+06""","=""1.2385e-02""","=""3.7458e-05""","=""-1.60608""",AA,"=""(1052471000)""","=""(1270170000)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Rf,104,"=""""","=""0.046380""","=""0.000024""","=""""","=""215610000""","=""""","=""4.2649e+07""","=""1.3754e-01""","=""4.2002e-04""","=""-0.56054""",AA,"=""(1054000000)""","=""(1269610000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Rf,104,"=""""","=""0.05745""","=""0.00003""","=""""","=""174070000""","=""""","=""7.3560e+07""","=""5.4591e-01""","=""4.1298e-03""","=""0.33918""",AA,"=""(1120620000)""","=""(1294694200)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Rf,104,"=""""","=""0.05904""","=""0.00003""","=""""","=""169380000""","=""""","=""1.2063e+07""","=""6.3040e-02""","=""4.9012e-04""","=""-0.59832""",AA,"=""(1120620000)""","=""(1289996100)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Rf,104,"=""""","=""0.06687""","=""0.00004""","=""""","=""149550000""","=""""","=""1.7014e+07""","=""5.7024e-02""","=""5.0212e-04""","=""-0.64188""",AA,"=""(1120620000)""","=""(1270170000)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Rf,104,"=""""","=""0.15011""","=""0.00004""","=""""","=""66620000""","=""""","=""3.7018e+06""","=""2.5008e-01""","=""2.4717e-03""","=""-0.30088""",AA,"=""(1054000000)""","=""(1120620000)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Rf,104,"=""""","=""6.54""","=""0.07""","=""""","=""1529000""","=""""","=""""","=""""","=""""","=""""",,"=""(1052471000)""","=""(1054000000)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
