element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Rh,45,"=""""","=""""","=""0.04915533""","=""0.00000003""","=""""","=""203436730""","=""""","=""6.7636e+06""","=""4.9001e-02""","=""1.5859e-04""","=""-1.00876""",AA,"=""0""","=""203436730""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Rh,45,"=""""","=""""","=""0.04927103""","=""0.00000005""","=""""","=""202959030""","=""""","=""6.7156e+06""","=""2.4441e-02""","=""7.9291e-05""","=""-1.31085""",AA,"=""0""","=""202959030""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Rh,45,"=""""","=""""","=""0.057997648""","=""0.000000024""","=""""","=""172420790""","=""""","=""2.4965e+07""","=""2.5179e-01""","=""9.6151e-04""","=""-0.29793""",AA,"=""0""","=""172420786""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Rh,45,"=""""","=""""","=""0.058544070""","=""0.000000024""","=""""","=""170811490""","=""""","=""2.5955e+07""","=""1.3337e-01""","=""5.1408e-04""","=""-0.57393""",AA,"=""0""","=""170811494""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Rh,43,"=""""","=""""","=""0.0591025""","=""0.0000003""","=""""","=""169197600""","=""""","=""""","=""""","=""""","=""""",,"=""[758080]""","=""(169955690)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Rh,43,"=""""","=""""","=""0.0591651""","=""0.0000003""","=""""","=""169018600""","=""""","=""""","=""""","=""""","=""""",,"=""[758080]""","=""(169776660)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Rh,43,"=""""","=""""","=""0.0595388""","=""0.0000003""","=""""","=""167957700""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""167957700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Rh,43,"=""""","=""""","=""0.0595835""","=""0.0000003""","=""""","=""167831600""","=""""","=""""","=""""","=""""","=""""",,"=""[2124100]""","=""(169955690)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Rh,43,"=""""","=""""","=""0.0595837""","=""0.0000003""","=""""","=""167831000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""167831030""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Rh,43,"=""""","=""""","=""0.0596472""","=""0.0000003""","=""""","=""167652600""","=""""","=""""","=""""","=""""","=""""",,"=""[2124100]""","=""(169776660)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Rh,43,"=""""","=""""","=""0.0596660""","=""0.0000003""","=""""","=""167599700""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""167599680""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Rh,43,"=""""","=""""","=""0.0596724""","=""0.0000003""","=""""","=""167581500""","=""""","=""""","=""""","=""""","=""""",,"=""[758080]""","=""(168339620)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
