element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Rn,86,"=""""","=""""","=""0.01224233""","=""0.00000015""","=""""","=""816838000""","=""""","=""8.6215e+07""","=""3.8743e-02""","=""3.1230e-05""","=""-1.11077""",AA,"=""0""","=""816838000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Rn,86,"=""""","=""""","=""0.0123629""","=""0.0000003""","=""""","=""808869000""","=""""","=""8.1895e+07""","=""1.8765e-02""","=""1.5275e-05""","=""-1.42561""",AA,"=""0""","=""808869000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Rn,84,"=""""","=""""","=""0.01399851""","=""0.00000016""","=""""","=""714362000""","=""""","=""""","=""""","=""""","=""""",,"=""[2019500]""","=""(716381200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Rn,84,"=""""","=""""","=""0.01400407""","=""0.00000016""","=""""","=""714078000""","=""""","=""""","=""""","=""""","=""""",,"=""[2019500]""","=""(716097400)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Rn,86,"=""""","=""""","=""0.01424450""","=""0.00000017""","=""""","=""702025000""","=""""","=""3.0306e+08""","=""1.8438e-01""","=""1.7293e-04""","=""-0.43325""",AA,"=""0""","=""702025200""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Rn,84,"=""""","=""""","=""0.01448367""","=""0.00000016""","=""""","=""690433000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""690432600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Rn,84,"=""""","=""""","=""0.01449244""","=""0.00000017""","=""""","=""690015000""","=""""","=""""","=""""","=""""","=""""",,"=""[26366200]""","=""(716381200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Rn,84,"=""""","=""""","=""0.01449840""","=""0.00000017""","=""""","=""689731000""","=""""","=""""","=""""","=""""","=""""",,"=""[26366200]""","=""(716097400)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Rn,84,"=""""","=""""","=""0.01450164""","=""0.00000016""","=""""","=""689577000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""689577300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Rn,84,"=""""","=""""","=""0.01451160""","=""0.00000017""","=""""","=""689104000""","=""""","=""""","=""""","=""""","=""""",,"=""[2019500]""","=""(691123200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
