element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ru,44,"=""""","=""""","=""0.05148541""","=""0.00000004""","=""""","=""194229800""","=""""","=""6.1860e+06""","=""4.9166e-02""","=""1.6667e-04""","=""-1.00730""",AA,"=""0""","=""194229800""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ru,44,"=""""","=""""","=""0.05160103""","=""0.00000005""","=""""","=""193794600""","=""""","=""6.1445e+06""","=""2.4528e-02""","=""8.3335e-05""","=""-1.30931""",AA,"=""0""","=""193794600""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ru,44,"=""""","=""""","=""0.060759435""","=""0.000000022""","=""""","=""164583490""","=""""","=""2.2848e+07""","=""2.5291e-01""","=""1.0118e-03""","=""-0.29600""",AA,"=""0""","=""164583492""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ru,44,"=""""","=""""","=""0.061305605""","=""0.000000022""","=""""","=""163117220""","=""""","=""2.3712e+07""","=""1.3361e-01""","=""5.3930e-04""","=""-0.57314""",AA,"=""0""","=""163117223""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ru,42,"=""""","=""""","=""0.0619723""","=""0.0000003""","=""""","=""161362500""","=""""","=""""","=""""","=""""","=""""",,"=""[736600]""","=""(162099080)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Ru,42,"=""""","=""""","=""0.0620407""","=""0.0000003""","=""""","=""161184600""","=""""","=""""","=""""","=""""","=""""",,"=""[736600]""","=""(161921210)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Ru,42,"=""""","=""""","=""0.0624056""","=""0.0000003""","=""""","=""160241900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""160241910""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ru,42,"=""""","=""""","=""0.0624521""","=""0.0000003""","=""""","=""160122800""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""160122750""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Ru,42,"=""""","=""""","=""0.0624522""","=""0.0000003""","=""""","=""160122400""","=""""","=""""","=""""","=""""","=""""",,"=""[1976710]""","=""(162099080)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
