element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
S,16,"=""""","=""""","=""0.3649551121""","=""0.0000000022""","=""""","=""27400630.02""","=""""","=""1.2860e+04""","=""2.5679e-03""","=""6.1705e-05""","=""-2.28939""",AA,"=""0.00""","=""(27400630.02)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
S,16,"=""""","=""""","=""0.3695796305""","=""0.0000000022""","=""""","=""27057768.27""","=""20g""","=""2.2507e+04""","=""9.2178e-03""","=""2.2431e-04""","=""-1.73434""",AA,"=""0.00""","=""(27057768.27)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
S,16,"=""""","=""""","=""0.3696007734""","=""0.0000000025""","=""""","=""27056220.44""","=""10g""","=""2.2423e+04""","=""4.5922e-03""","=""1.1175e-04""","=""-2.03695""",AA,"=""0.00""","=""(27056220.44)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
S,16,"=""""","=""""","=""0.378431020""","=""0.000000003""","=""""","=""26424895.05""","=""40g""","=""4.4646e+04""","=""1.9171e-02""","=""4.7768e-04""","=""-1.41633""",AA,"=""0.00""","=""(26424895.05)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
S,16,"=""""","=""""","=""0.378474334""","=""0.000000004""","=""""","=""26421870.9""","=""20g""","=""4.4526e+04""","=""9.5619e-03""","=""2.3828e-04""","=""-1.71843""",AA,"=""0.00""","=""(26421870.95)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
S,15,"=""""","=""""","=""0.3882798""","=""0.0000003""","=""""","=""25754624""","=""10g""","=""4.70e+03""","=""3.18e-03""","=""4.07e-05""","=""-2.498""",C+,"=""0.0""","=""(25754624)""","=""1s2""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",1,3,,"=""T5072""","=""""",
S,15,"=""""","=""""","=""0.3891550""","=""0.0000003""","=""""","=""25696705""","=""15g""","=""6.45e+03""","=""4.39e-03""","=""5.63e-05""","=""-2.358""",C+,"=""0.0""","=""(25696705)""","=""1s2""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",1,3,,"=""T5072""","=""""",
S,15,"=""""","=""""","=""0.3903850""","=""0.0000003""","=""""","=""25615736""","=""20g""","=""9.21e+03""","=""6.31e-03""","=""8.11e-05""","=""-2.200""",C+,"=""0.0""","=""(25615736)""","=""1s2""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",1,3,,"=""T5072""","=""""",
S,15,"=""""","=""""","=""0.3921932""","=""0.0000003""","=""""","=""25497639""","=""25g""","=""1.38e+04""","=""9.53e-03""","=""1.23e-04""","=""-2.021""",C+,"=""0.0""","=""(25497639)""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T5072""","=""""",
S,15,"=""0.39493""","=""""","=""0.3950117""","=""0.0000003""","=""-0.00008""","=""25321000""","=""35g""","=""2.19e+04""","=""1.54e-02""","=""2.00e-04""","=""-1.812""",C+,"=""0.0""","=""(25315705)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T5072""","=""L2560c7""",
S,16,"=""""","=""""","=""0.399080124""","=""0.000000005""","=""""","=""25057624.8""","=""130g""","=""1.0949e+05""","=""5.2284e-02""","=""1.3738e-03""","=""-0.98060""",AA,"=""0.00""","=""(25057624.8)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
S,16,"=""""","=""""","=""0.399194352""","=""0.000000008""","=""""","=""25050454.6""","=""70g""","=""1.0941e+05""","=""2.6138e-02""","=""6.8700e-04""","=""-1.28170""",AA,"=""0.00""","=""(25050454.6)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
S,15,"=""0.39983""","=""""","=""0.3997757""","=""0.0000003""","=""0.00005""","=""25011000""","=""50g""","=""3.82e+04""","=""2.74e-02""","=""3.61e-04""","=""-1.562""",C+,"=""0.0""","=""(25014026)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5072""","=""L2560c7""",
