element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Sb,51,"=""""","=""""","=""0.03792720""","=""0.00000006""","=""""","=""263663000""","=""""","=""1.1113e+07""","=""4.7931e-02""","=""1.1969e-04""","=""-1.01835""",AA,"=""0""","=""263663000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sb,51,"=""""","=""""","=""0.03804338""","=""0.00000007""","=""""","=""262857800""","=""""","=""1.1003e+07""","=""2.3874e-02""","=""5.9802e-05""","=""-1.32104""",AA,"=""0""","=""262857800""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sb,51,"=""""","=""""","=""0.04468905""","=""0.00000003""","=""""","=""223768440""","=""""","=""4.0835e+07""","=""2.4453e-01""","=""7.1950e-04""","=""-0.31065""",AA,"=""0""","=""223768444""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sb,51,"=""""","=""""","=""0.04523712""","=""0.00000003""","=""""","=""221057410""","=""""","=""4.2948e+07""","=""1.3176e-01""","=""3.9245e-04""","=""-0.57918""",AA,"=""0""","=""221057407""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sb,49,"=""""","=""""","=""0.04530621""","=""0.00000023""","=""""","=""220720300""","=""""","=""""","=""""","=""""","=""""",,"=""[893830]""","=""(221614100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Sb,49,"=""""","=""""","=""0.04534473""","=""0.00000023""","=""""","=""220532800""","=""""","=""""","=""""","=""""","=""""",,"=""[893830]""","=""(221426600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Sb,49,"=""""","=""""","=""0.0457579""","=""0.0000003""","=""""","=""218541600""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""218541600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Sb,49,"=""""","=""""","=""0.04579256""","=""0.00000023""","=""""","=""218376100""","=""""","=""""","=""""","=""""","=""""",,"=""[3238030]""","=""(221614100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Sb,49,"=""""","=""""","=""0.0457952""","=""0.0000003""","=""""","=""218363700""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""218363700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Sb,49,"=""""","=""""","=""0.04583192""","=""0.00000023""","=""""","=""218188600""","=""""","=""""","=""""","=""""","=""""",,"=""[3238030]""","=""(221426600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
