element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Sc,21,"=""""","=""""","=""0.211342254""","=""0.000000004""","=""""","=""47316614.6""","=""""","=""3.7991e+04""","=""2.5440e-03""","=""3.5400e-05""","=""-2.29346""",AA,"=""0.0""","=""(47316614.6)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sc,21,"=""""","=""""","=""0.214010862""","=""0.000000003""","=""""","=""46726600.2""","=""g""","=""6.6707e+04""","=""9.1607e-03""","=""1.2908e-04""","=""-1.73704""",AA,"=""0.0""","=""(46726600.2)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sc,21,"=""""","=""""","=""0.214032026""","=""0.000000004""","=""""","=""46721979.8""","=""g""","=""6.6276e+04""","=""4.5517e-03""","=""6.4144e-05""","=""-2.04080""",AA,"=""0.0""","=""(46721979.8)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sc,21,"=""""","=""""","=""0.219128246""","=""0.000000004""","=""""","=""45635376.5""","=""g""","=""1.3232e+05""","=""1.9051e-02""","=""2.7486e-04""","=""-1.41906""",AA,"=""0.0""","=""(45635376.5)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sc,21,"=""""","=""""","=""0.219171608""","=""0.000000006""","=""""","=""45626347.7""","=""g""","=""1.3170e+05""","=""9.4844e-03""","=""1.3687e-04""","=""-1.72196""",AA,"=""0.0""","=""(45626347.7)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sc,20,"=""""","=""""","=""0.22720243""","=""0.00000021""","=""""","=""44013610""","=""""","=""1.09e+05""","=""2.53e-02""","=""1.89e-04""","=""-1.597""",C+,"=""0.0""","=""(44013613)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5297interp""","=""L6495c13""",
Sc,20,"=""""","=""""","=""0.22725269""","=""0.00000021""","=""""","=""44003880""","=""""","=""5.200e+03""","=""1.208e-03""","=""9.037e-06""","=""-2.918""",E,"=""0.0""","=""(44003880)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""T5297interp""","=""L6495c13""",
Sc,21,"=""""","=""""","=""0.231064609""","=""0.000000007""","=""""","=""43277938.7""","=""g""","=""3.2443e+05""","=""5.1937e-02""","=""7.9016e-04""","=""-0.98349""",AA,"=""0.0""","=""(43277938.7)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sc,21,"=""""","=""""","=""0.231178996""","=""0.000000016""","=""""","=""43256525""","=""g""","=""3.2403e+05""","=""2.5962e-02""","=""3.9518e-04""","=""-1.28463""",AA,"=""0.0""","=""(43256525)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sc,20,"=""""","=""""","=""0.23242323""","=""0.00000022""","=""""","=""43024960""","=""""","=""2.17e+05""","=""5.27e-02""","=""4.03e-04""","=""-1.278""",C+,"=""0.0""","=""(43024959)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5297interp""","=""L6495c13""",
Sc,20,"=""""","=""""","=""0.23252705""","=""0.00000022""","=""""","=""43005750""","=""""","=""1.0e+04""","=""2.4e-03""","=""1.9e-05""","=""-2.61""",E,"=""0.0""","=""(43005749)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",1,3,,"=""T5297interp""","=""L6495c13""",
Sc,20,"=""""","=""""","=""0.24455753""","=""0.00000024""","=""""","=""40890180""","=""""","=""5.32e+05""","=""1.43e-01""","=""1.15e-03""","=""-0.844""",C+,"=""0.0""","=""(40890175)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5297interp""","=""L6495c13""",
Sc,20,"=""""","=""""","=""0.24483635""","=""0.00000024""","=""""","=""40843610""","=""""","=""2.4e+04""","=""6.5e-03""","=""5.2e-05""","=""-2.19""",E,"=""0.0""","=""(40843609)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",1,3,,"=""T5297interp""","=""L6495c13""",
Sc,21,"=""""","=""""","=""0.273602137""","=""0.000000007""","=""""","=""36549422.1""","=""g""","=""1.2115e+06""","=""2.7192e-01""","=""4.8985e-03""","=""-0.26454""",AA,"=""0.0""","=""(36549422.12)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sc,21,"=""""","=""""","=""0.274144013""","=""0.000000007""","=""""","=""36477178.1""","=""g""","=""1.2214e+06""","=""1.3762e-01""","=""2.4841e-03""","=""-0.56029""",AA,"=""0.0""","=""(36477178.14)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sc,20,"=""""","=""""","=""0.28730553""","=""0.00000003""","=""""","=""34806153""","=""""","=""2.00e+06""","=""7.43e-01""","=""7.02e-03""","=""-0.129""",B,"=""0.0""","=""(34806152.6)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T3585""","=""L6495c13""",
Sc,19,"=""""","=""""","=""0.2879865""","=""0.0000015""","=""""","=""34723850""","=""""","=""""","=""""","=""""","=""""",,"=""306721""","=""(35030570)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
Sc,20,"=""""","=""""","=""0.28832378""","=""0.00000003""","=""""","=""34683230""","=""""","=""1.14e+01""","=""7.10e-06""","=""7.62e-02""","=""-5.148""",B,"=""0.0""","=""(34683229.8)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",1,5,M2,"=""T5297interp""","=""L6495c13""",
Sc,19,"=""0.28840""","=""0.00009""","=""0.2884073""","=""0.0000015""","=""-0.00001""","=""34674000""","=""""","=""""","=""""","=""""","=""""",,"=""357379.9""","=""(35030570)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2S""","=""1/2""",4,2,,"=""""","=""L22456,L4776c164""",
Sc,19,"=""0.28851""","=""0.00006""","=""0.2884586""","=""0.0000013""","=""0.00005""","=""34660000""","=""g*""","=""2.0e+06""","=""5.0e-01""","=""9.5e-03""","=""-0.00""",D,"=""0.0""","=""(34667020)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""",2,4,,"=""T3506""","=""L22456,L11566,L4776c164""",
Sc,19,"=""0.28851""","=""0.00006""","=""0.2885467""","=""0.0000013""","=""-0.00004""","=""34660000""","=""g*""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(34656440)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L22456,L11566,L4776c164""",
Sc,20,"=""""","=""""","=""0.28869638""","=""0.00000003""","=""""","=""34638467""","=""""","=""7.42e+04""","=""2.78e-02""","=""2.64e-04""","=""-1.556""",B,"=""0.0""","=""(34638466.9)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",1,3,,"=""T3585""","=""L6495c13""",
Sc,19,"=""""","=""""","=""0.2891610""","=""0.0000011""","=""""","=""34582810""","=""""","=""""","=""""","=""""","=""""",,"=""306721""","=""(34889530)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""3/2""",2,4,,"=""""","=""""",
Sc,19,"=""0.289323""","=""0.000008""","=""0.2893144""","=""0.0000013""","=""0.000009""","=""34563400""","=""g""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(34564470)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L22456,L6598,L11566""",
Sc,19,"=""0.289573""","=""0.000024""","=""0.2895434""","=""0.0000013""","=""0.000030""","=""34534000""","=""g*""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(34537140)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""L22456,L6598,L11566,L4776c164""",
Sc,19,"=""0.289573""","=""0.000024""","=""0.2895852""","=""0.0000011""","=""-0.000012""","=""34534000""","=""*""","=""2.7e+06""","=""3.4e-01""","=""1.3e-02""","=""0.13""",D,"=""357379.9""","=""(34889530)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""3/2""",4,4,,"=""T3506""","=""L22456,L6598,L11566,L4776c164""",
Sc,19,"=""0.289573""","=""0.000024""","=""0.2896116""","=""0.0000011""","=""-0.000039""","=""34534000""","=""*""","=""2.2e+06""","=""2.8e-01""","=""5.3e-03""","=""-0.26""",D,"=""306721""","=""(34835730)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""1/2""",2,2,,"=""T3506""","=""L22456,L6598,L11566,L4776c164""",
Sc,19,"=""0.289817""","=""0.000008""","=""0.2898106""","=""0.0000013""","=""0.000006""","=""34504500""","=""""","=""1.2e+06""","=""3.0e-01""","=""5.8e-03""","=""-0.22""",D,"=""306721""","=""(34812020)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2D""","=""3/2""",2,4,,"=""T3506""","=""L22456,L6598,L11566,L4776c164""",
Sc,19,"=""0.29012""","=""0.00007""","=""0.2900371""","=""0.0000011""","=""0.00008""","=""34468000""","=""""","=""""","=""""","=""""","=""""",,"=""357379.9""","=""(34835730)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""1/2""",4,2,,"=""""","=""L22456,L11566""",
Sc,19,"=""0.290183""","=""0.000040""","=""0.2901697""","=""0.0000013""","=""0.000013""","=""34461000""","=""""","=""""","=""""","=""""","=""""",,"=""357379.9""","=""(34819970)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""5/2""",4,6,,"=""""","=""L22456,L6598,L11566,L4776c164""",
Sc,19,"=""0.290271""","=""0.000022""","=""0.2902367""","=""0.0000013""","=""0.000034""","=""34451000""","=""""","=""""","=""""","=""""","=""""",,"=""357379.9""","=""(34812020)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""3/2""",4,4,,"=""""","=""L22456,L6598,L11566""",
Sc,20,"=""""","=""""","=""0.29028633""","=""0.00000003""","=""""","=""34448746""","=""""","=""2.40e-01""","=""9.10e-08""","=""6.53e-05""","=""-7.041""",B,"=""0.0""","=""(34448745.9)""","=""1s2""","=""1S""","=""0""","=""1s.2s""","=""3S""","=""1""",1,3,M1,"=""T5297interp""","=""L6495c13""",
Sc,19,"=""""","=""""","=""0.2909245""","=""0.0000011""","=""""","=""34373180""","=""""","=""""","=""""","=""""","=""""",,"=""306721""","=""(34679900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""5/2""",2,6,,"=""""","=""""",
Sc,19,"=""""","=""""","=""0.2911203""","=""0.0000011""","=""""","=""34350060""","=""""","=""""","=""""","=""""","=""""",,"=""306721""","=""(34656780)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""3/2""",2,4,,"=""""","=""""",
Sc,19,"=""""","=""""","=""0.2912255""","=""0.0000012""","=""""","=""34337650""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(34337650)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""5/2""",2,6,,"=""""","=""""",
Sc,19,"=""""","=""""","=""0.2913189""","=""0.0000011""","=""""","=""34326640""","=""""","=""""","=""""","=""""","=""""",,"=""306721""","=""(34633360)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""1/2""",2,2,,"=""""","=""""",
Sc,19,"=""""","=""""","=""0.2913539""","=""0.0000011""","=""""","=""34322520""","=""""","=""""","=""""","=""""","=""""",,"=""357379.9""","=""(34679900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""5/2""",4,6,,"=""""","=""""",
Sc,19,"=""0.29157""","=""0.00005""","=""0.2915177""","=""0.0000012""","=""0.00005""","=""34297000""","=""g*""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(34303240)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""3/2""",2,4,,"=""""","=""L22456,L11566""",
Sc,19,"=""0.29157""","=""0.00005""","=""0.2915503""","=""0.0000011""","=""0.00002""","=""34297000""","=""*""","=""""","=""""","=""""","=""""",,"=""357379.9""","=""(34656780)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""3/2""",4,4,,"=""""","=""L22456,L11566""",
