element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Se,34,"=""""","=""""","=""0.079849692""","=""0.000000007""","=""""","=""125235298""","=""""","=""2.5646e+05""","=""2.4515e-03""","=""1.2889e-05""","=""-2.30954""",AA,"=""0""","=""125235298""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Se,34,"=""""","=""""","=""0.080843836""","=""0.000000008""","=""""","=""123695269""","=""""","=""4.5630e+05""","=""8.9419e-03""","=""4.7597e-05""","=""-1.74754""",AA,"=""0""","=""123695269""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Se,34,"=""""","=""""","=""0.080865080""","=""0.000000009""","=""""","=""123662773""","=""""","=""4.4829e+05""","=""4.3948e-03""","=""2.3399e-05""","=""-2.05603""",AA,"=""0""","=""123662773""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Se,34,"=""""","=""""","=""0.082764559""","=""0.000000011""","=""""","=""120824663""","=""""","=""9.0517e+05""","=""1.8591e-02""","=""1.0131e-04""","=""-1.42966""",AA,"=""0""","=""120824663""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Se,34,"=""""","=""""","=""0.082808121""","=""0.000000015""","=""""","=""120761103""","=""""","=""8.9352e+05""","=""9.1856e-03""","=""5.0082e-05""","=""-1.73586""",AA,"=""0""","=""120761103""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Se,34,"=""""","=""""","=""0.087241968""","=""0.000000020""","=""""","=""114623730""","=""""","=""2.2177e+06""","=""5.0612e-02""","=""2.9072e-04""","=""-0.99472""",AA,"=""0""","=""114623733""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Se,34,"=""""","=""""","=""0.08735695""","=""0.00000004""","=""""","=""114472860""","=""""","=""2.2097e+06""","=""2.5281e-02""","=""1.4541e-04""","=""-1.29618""",AA,"=""0""","=""114472860""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Se,34,"=""""","=""""","=""0.103140207""","=""0.000000015""","=""""","=""96955400""","=""""","=""8.2390e+06""","=""2.6279e-01""","=""1.7846e-03""","=""-0.27935""",AA,"=""0""","=""96955400.0""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Se,34,"=""""","=""""","=""0.103684159""","=""0.000000015""","=""""","=""96446748""","=""""","=""8.4208e+06""","=""1.3572e-01""","=""9.2652e-04""","=""-0.56633""",AA,"=""0""","=""96446748.1""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Se,32,"=""""","=""""","=""0.1062615""","=""0.0000005""","=""""","=""94107500""","=""""","=""""","=""""","=""""","=""""",,"=""[536536]""","=""(94644000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1064524""","=""0.0000005""","=""""","=""93938700""","=""""","=""""","=""""","=""""","=""""",,"=""[536536]""","=""(94475260)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""3/2""",2,4,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1066633""","=""0.0000005""","=""""","=""93753000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""93752990""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1067262""","=""0.0000005""","=""""","=""93697700""","=""""","=""""","=""""","=""""","=""""",,"=""[946298]""","=""(94644000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2S""","=""1/2""",4,2,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1067288""","=""0.0000005""","=""""","=""93695400""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""93695450""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1069069""","=""0.0000005""","=""""","=""93539300""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""93539320""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1069188""","=""0.0000005""","=""""","=""93529000""","=""""","=""""","=""""","=""""","=""""",,"=""[946298]""","=""(94475260)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""3/2""",4,4,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1069590""","=""0.0000005""","=""""","=""93493800""","=""""","=""""","=""""","=""""","=""""",,"=""[536536]""","=""(94030300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2D""","=""3/2""",2,4,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1069977""","=""0.0000005""","=""""","=""93459900""","=""""","=""""","=""""","=""""","=""""",,"=""[536536]""","=""(93996460)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""1/2""",2,2,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1071241""","=""0.0000005""","=""""","=""93349700""","=""""","=""""","=""""","=""""","=""""",,"=""[946298]""","=""(94295950)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""5/2""",4,6,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1071564""","=""0.0000005""","=""""","=""93321500""","=""""","=""""","=""""","=""""","=""""",,"=""[536536]""","=""(93858040)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""5/2""",2,6,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1072370""","=""0.0000005""","=""""","=""93251400""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""93251390""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""",2,2,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1072551""","=""0.0000005""","=""""","=""93235700""","=""""","=""""","=""""","=""""","=""""",,"=""[536536]""","=""(93772230)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""3/2""",2,4,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1072948""","=""0.0000005""","=""""","=""93201200""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""93201180""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""5/2""",2,6,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1074298""","=""0.0000005""","=""""","=""93084000""","=""""","=""""","=""""","=""""","=""""",,"=""[946298]""","=""(94030300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""3/2""",4,4,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1074689""","=""0.0000005""","=""""","=""93050200""","=""""","=""""","=""""","=""""","=""""",,"=""[946298]""","=""(93996460)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""1/2""",4,2,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1075762""","=""0.0000005""","=""""","=""92957400""","=""""","=""""","=""""","=""""","=""""",,"=""[536536]""","=""(93493940)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""1/2""",2,2,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1076290""","=""0.0000005""","=""""","=""92911700""","=""""","=""""","=""""","=""""","=""""",,"=""[946298]""","=""(93858040)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""5/2""",4,6,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1076752""","=""0.0000005""","=""""","=""92871900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""92871930""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""3/2""",2,4,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1077285""","=""0.0000005""","=""""","=""92825900""","=""""","=""""","=""""","=""""","=""""",,"=""[946298]""","=""(93772230)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""3/2""",4,4,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1077533""","=""0.0000005""","=""""","=""92804600""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""92804580""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""1/2""",2,2,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1080525""","=""0.0000005""","=""""","=""92547600""","=""""","=""""","=""""","=""""","=""""",,"=""[946298]""","=""(93493940)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""1/2""",4,2,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1085374""","=""0.0000006""","=""""","=""92134100""","=""""","=""""","=""""","=""""","=""""",,"=""[536536]""","=""(92670680)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
Se,32,"=""""","=""""","=""0.1090223""","=""0.0000006""","=""""","=""91724400""","=""""","=""""","=""""","=""""","=""""",,"=""[946298]""","=""(92670680)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""2S""","=""1/2""",4,2,,"=""""","=""""",
Se,34,"=""""","=""""","=""0.34735512""","=""0.00000015""","=""""","=""28788981""","=""""","=""3.3945e+03""","=""6.1401e-04""","=""1.4043e-05""","=""-2.91079""",AA,"=""(96446748.1)""","=""(125235729)""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
