element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Si,14,"=""""","=""""","=""0.477035561""","=""0.000000003""","=""""","=""20962797.80""","=""""","=""7.5746e+03""","=""5.1683e-03""","=""1.6233e-04""","=""-1.98562""",AA,"=""0.00""","=""(20962797.801)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Si,14,"=""""","=""""","=""0.477047484""","=""0.000000003""","=""""","=""20962273.85""","=""""","=""7.5496e+03""","=""2.5757e-03""","=""8.0904e-05""","=""-2.28807""",AA,"=""0.00""","=""(20962273.85)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Si,14,"=""""","=""""","=""0.483099198""","=""0.000000003""","=""""","=""20699682.49""","=""""","=""1.3199e+04""","=""9.2366e-03""","=""2.9380e-04""","=""-1.73346""",AA,"=""0.00""","=""(20699682.49)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Si,14,"=""""","=""""","=""0.483120333""","=""0.000000003""","=""""","=""20698776.91""","=""""","=""1.3161e+04""","=""4.6054e-03""","=""1.4650e-04""","=""-2.03570""",AA,"=""0.00""","=""(20698776.91)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Si,14,"=""""","=""""","=""0.494675233""","=""0.000000004""","=""""","=""20215283.33""","=""""","=""2.6181e+04""","=""1.9210e-02""","=""6.2567e-04""","=""-1.41545""",AA,"=""0.00""","=""(20215283.33)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Si,14,"=""""","=""""","=""0.494718529""","=""0.000000004""","=""""","=""20213514.19""","=""""","=""2.6127e+04""","=""9.5867e-03""","=""3.1227e-04""","=""-1.71730""",AA,"=""0.00""","=""(20213514.19)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Si,13,"=""""","=""""","=""0.5134624""","=""0.0000004""","=""""","=""19475621""","=""""","=""2.70e+03""","=""3.20e-03""","=""5.41e-05""","=""-2.495""",C+,"=""0.0""","=""(19475621)""","=""1s2""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",1,3,,"=""T5231c4""","=""""",
Si,13,"=""""","=""""","=""0.5146115""","=""0.0000004""","=""""","=""19432135""","=""""","=""3.68e+03""","=""4.39e-03""","=""7.44e-05""","=""-2.358""",A,"=""0.0""","=""(19432135)""","=""1s2""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",1,3,,"=""T5072""","=""""",
Si,13,"=""""","=""""","=""0.5162264""","=""0.0000004""","=""""","=""19371344""","=""""","=""5.25e+03""","=""6.30e-03""","=""1.07e-04""","=""-2.201""",A,"=""0.0""","=""(19371344)""","=""1s2""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",1,3,,"=""T5072""","=""""",
Si,13,"=""""","=""""","=""0.5186000""","=""0.0000004""","=""""","=""19282684""","=""""","=""7.86e+03""","=""9.51e-03""","=""1.62e-04""","=""-2.022""",A,"=""0.0""","=""(19282684)""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T5072""","=""""",
Si,14,"=""""","=""""","=""0.521681873""","=""0.000000005""","=""""","=""19168770.31""","=""""","=""6.4207e+04""","=""5.2394e-02""","=""1.7997e-03""","=""-0.97969""",AA,"=""0.00""","=""(19168770.31)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Si,14,"=""""","=""""","=""0.521796049""","=""0.000000007""","=""""","=""19164575.91""","=""""","=""6.4173e+04""","=""2.6195e-02""","=""8.9995e-04""","=""-1.28076""",AA,"=""0.00""","=""(19164575.91)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Si,13,"=""""","=""""","=""0.5222994""","=""0.0000004""","=""""","=""19146105""","=""""","=""1.25e+04""","=""1.54e-02""","=""2.64e-04""","=""-1.812""",A,"=""0.0""","=""(19146105)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T5072""","=""""",
Si,13,"=""""","=""""","=""0.5285509""","=""0.0000004""","=""""","=""18919653""","=""""","=""2.18e+04""","=""2.73e-02""","=""4.76e-04""","=""-1.564""",A,"=""0.0""","=""(18919653)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5072""","=""""",
Si,13,"=""""","=""""","=""0.5404538""","=""0.0000004""","=""""","=""18502968""","=""""","=""4.29e+04""","=""5.64e-02""","=""1.00e-03""","=""-1.249""",A,"=""0.0""","=""(18502968)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5072""","=""""",
Si,13,"=""""","=""""","=""0.5680642""","=""0.0000005""","=""""","=""17603643""","=""""","=""1.04e+05""","=""1.51e-01""","=""2.82e-03""","=""-0.821""",A+,"=""0.0""","=""(17603643)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5072""","=""""",
Si,14,"=""""","=""""","=""0.618042517""","=""0.000000008""","=""""","=""16180116.62""","=""""","=""2.4017e+05""","=""2.7507e-01""","=""1.1194e-02""","=""-0.25953""",AA,"=""0.00""","=""(16180116.618)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Si,14,"=""""","=""""","=""0.618583643""","=""0.000000008""","=""""","=""16165962.55""","=""""","=""2.4105e+05""","=""1.3828e-01""","=""5.6320e-03""","=""-0.55821""",AA,"=""0.00""","=""(16165962.546)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Si,13,"=""""","=""""","=""0.66479407""","=""0.00000008""","=""""","=""15042252.0""","=""""","=""3.76e+05""","=""7.47e-01""","=""1.63e-02""","=""-0.127""",A+,"=""0.0""","=""(15042252.0)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T5072,T3585""","=""""",
Si,12,"=""0.66803""","=""0.00015""","=""0.667835""","=""0.000006""","=""0.00019""","=""14969000""","=""*""","=""""","=""""","=""""","=""""",,"=""[192063.4]""","=""(15165820)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",2,2,,"=""""","=""L22456,L2560c7""",
Si,12,"=""0.66803""","=""0.00015""","=""0.668200""","=""0.000006""","=""-0.00017""","=""14969000""","=""*""","=""""","=""""","=""""","=""""",,"=""[200241.5]""","=""(15165820)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2S""","=""1/2""",4,2,,"=""""","=""L22456,L2560c7""",
Si,12,"=""0.66877""","=""0.00013""","=""0.668892""","=""0.000004""","=""-0.00012""","=""14953000""","=""g*""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(14950090)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""",2,4,,"=""""","=""L22456,L2560c7,L2304""",
