element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Sm,62,"=""""","=""""","=""0.02514813""","=""0.00000008""","=""""","=""397643900""","=""""","=""2.4048e+07""","=""4.5601e-02""","=""7.5508e-05""","=""-1.03999""",AA,"=""0""","=""397643900""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sm,62,"=""""","=""""","=""0.02526539""","=""0.00000007""","=""""","=""395798400""","=""""","=""2.3639e+07""","=""2.2622e-02""","=""3.7633e-05""","=""-1.34443""",AA,"=""0""","=""395798400""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sm,62,"=""""","=""""","=""0.02954187""","=""0.00000005""","=""""","=""338502600""","=""""","=""8.7472e+07""","=""2.2889e-01""","=""4.4522e-04""","=""-0.33934""",AA,"=""0""","=""338502585""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sm,60,"=""""","=""""","=""0.02967838""","=""0.00000016""","=""""","=""336945600""","=""""","=""""","=""""","=""""","=""""",,"=""[1178940]""","=""(338124500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Sm,60,"=""""","=""""","=""0.02969688""","=""0.00000016""","=""""","=""336735800""","=""""","=""""","=""""","=""""","=""""",,"=""[1178940]""","=""(337914700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Sm,62,"=""""","=""""","=""0.03009356""","=""0.00000005""","=""""","=""332297000""","=""""","=""9.4410e+07""","=""1.2818e-01""","=""2.5398e-04""","=""-0.59115""",AA,"=""0""","=""332297040""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sm,60,"=""""","=""""","=""0.03014885""","=""0.00000018""","=""""","=""331687600""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""331687600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Sm,60,"=""""","=""""","=""0.03017055""","=""0.00000016""","=""""","=""331449000""","=""""","=""""","=""""","=""""","=""""",,"=""[6675490]""","=""(338124500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Sm,60,"=""""","=""""","=""0.03017675""","=""0.00000018""","=""""","=""331381000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""331381000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Sm,60,"=""""","=""""","=""0.03018966""","=""0.00000016""","=""""","=""331239200""","=""""","=""""","=""""","=""""","=""""",,"=""[6675490]""","=""(337914700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
