element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Sn,50,"=""""","=""""","=""0.03952242""","=""0.00000005""","=""""","=""253021000""","=""""","=""1.0273e+07""","=""4.8116e-02""","=""1.2521e-04""","=""-1.01668""",AA,"=""0""","=""253020960""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sn,50,"=""""","=""""","=""0.03963851""","=""0.00000006""","=""""","=""252279900""","=""""","=""1.0177e+07""","=""2.3974e-02""","=""6.2569e-05""","=""-1.31924""",AA,"=""0""","=""252279900""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sn,50,"=""""","=""""","=""0.04657987""","=""0.00000003""","=""""","=""214685000""","=""""","=""3.7782e+07""","=""2.4579e-01""","=""7.5383e-04""","=""-0.30840""",AA,"=""0""","=""214685003""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sn,50,"=""""","=""""","=""0.04712765""","=""0.00000003""","=""""","=""212189670""","=""""","=""3.9655e+07""","=""1.3204e-01""","=""4.0972e-04""","=""-0.57826""",AA,"=""0""","=""212189670""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sn,48,"=""""","=""""","=""0.04726285""","=""0.00000022""","=""""","=""211582700""","=""""","=""""","=""""","=""""","=""""",,"=""[870330]""","=""(212453000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Sn,48,"=""""","=""""","=""0.04730439""","=""0.00000022""","=""""","=""211396900""","=""""","=""""","=""""","=""""","=""""",,"=""[870330]""","=""(212267200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Sn,48,"=""""","=""""","=""0.0477122""","=""0.0000003""","=""""","=""209589900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""209589900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Sn,48,"=""""","=""""","=""0.04774845""","=""0.00000023""","=""""","=""209430900""","=""""","=""""","=""""","=""""","=""""",,"=""[3022100]""","=""(212453000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Sn,48,"=""""","=""""","=""0.0477506""","=""0.0000003""","=""""","=""209421300""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""209421300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Sn,48,"=""""","=""""","=""0.04779084""","=""0.00000023""","=""""","=""209245100""","=""""","=""""","=""""","=""""","=""""",,"=""[3022100]""","=""(212267200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
