element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Sr,38,"=""""","=""""","=""0.063191893""","=""0.000000008""","=""""","=""158248147""","=""""","=""2.4821e+05""","=""1.4859e-03""","=""6.1825e-06""","=""-2.52698""",AA,"=""0""","=""158248147""","=""1s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sr,38,"=""""","=""""","=""0.063669070""","=""0.000000009""","=""""","=""157062133""","=""""","=""3.9724e+05""","=""2.4141e-03""","=""1.0120e-05""","=""-2.31621""",AA,"=""0""","=""157062133""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sr,38,"=""""","=""""","=""0.064457114""","=""0.000000009""","=""""","=""155141913""","=""""","=""7.1075e+05""","=""8.8541e-03""","=""3.7577e-05""","=""-1.75182""",AA,"=""0""","=""155141913""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sr,38,"=""""","=""""","=""0.064478389""","=""0.000000011""","=""""","=""155090720""","=""""","=""6.9493e+05""","=""4.3314e-03""","=""1.8389e-05""","=""-2.06234""",AA,"=""0""","=""155090723""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sr,38,"=""""","=""""","=""0.065984391""","=""0.000000014""","=""""","=""151550990""","=""""","=""1.4100e+06""","=""1.8407e-02""","=""7.9970e-05""","=""-1.43399""",AA,"=""0""","=""151550993""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sr,38,"=""""","=""""","=""0.066028035""","=""0.000000019""","=""""","=""151450820""","=""""","=""1.3869e+06""","=""9.0648e-03""","=""3.9409e-05""","=""-1.74161""",AA,"=""0""","=""151450820""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sr,37,"=""""","=""""","=""0.066670""","=""0.000007""","=""""","=""149993000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""149992600""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""""","=""L10054,L7139""",
Sr,37,"=""""","=""""","=""0.066694""","=""0.000007""","=""""","=""149938000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""149938430""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""""","=""L10054,L7139""",
Sr,37,"=""""","=""""","=""0.068218""","=""0.000007""","=""""","=""146590000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""146589630""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""""","=""L10054,L7139""",
Sr,37,"=""""","=""""","=""0.068267""","=""0.000007""","=""""","=""146483000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""146483440""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",1,3,,"=""""","=""L10054,L7139""",
Sr,38,"=""""","=""""","=""0.06954375""","=""0.00000003""","=""""","=""143794380""","=""""","=""3.4534e+06""","=""5.0078e-02""","=""2.2930e-04""","=""-0.99932""",AA,"=""0""","=""143794380""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sr,38,"=""""","=""""","=""0.06965897""","=""0.00000004""","=""""","=""143556540""","=""""","=""3.4373e+06""","=""2.5005e-02""","=""1.1469e-04""","=""-1.30094""",AA,"=""0""","=""143556540""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sr,37,"=""""","=""""","=""0.071819""","=""0.000007""","=""""","=""139240000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""139239740""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""""","=""L10054,L7139""",
Sr,37,"=""""","=""""","=""0.071949""","=""0.000007""","=""""","=""138987000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""138986530""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",1,3,,"=""""","=""L10054,L7139""",
Sr,38,"=""""","=""""","=""0.082163363""","=""0.000000018""","=""""","=""121708750""","=""""","=""1.2802e+07""","=""2.5914e-01""","=""1.4019e-03""","=""-0.28544""",AA,"=""0""","=""121708747.3""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Sr,38,"=""""","=""""","=""0.082696692""","=""0.000000018""","=""""","=""120923820""","=""""","=""4.068e+02""","=""4.171e-06""","=""""","=""-5.079""",AA,"=""0""","=""120923821""","=""1s""","=""2S""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,UT,"=""T6995""","=""""",
Sr,38,"=""""","=""""","=""0.082708135""","=""0.000000018""","=""""","=""120907090""","=""""","=""1.3159e+07""","=""1.3495e-01""","=""7.3488e-04""","=""-0.56880""",AA,"=""0""","=""120907091""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Sr,36,"=""""","=""""","=""0.0842842""","=""0.0000004""","=""""","=""118646200""","=""""","=""""","=""""","=""""","=""""",,"=""[613598]""","=""(119259770)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
