element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ta,73,"=""""","=""""","=""0.01767639""","=""0.00000010""","=""""","=""565726000""","=""""","=""4.5664e+07""","=""4.2781e-02""","=""4.9791e-05""","=""-1.06772""",AA,"=""0""","=""565726300""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ta,73,"=""""","=""""","=""0.01779502""","=""0.00000013""","=""""","=""561955000""","=""""","=""4.4372e+07""","=""2.1065e-02""","=""2.4681e-05""","=""-1.37541""",AA,"=""0""","=""561955000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ta,71,"=""""","=""""","=""0.02058526""","=""0.00000012""","=""""","=""485785000""","=""""","=""""","=""""","=""""","=""""",,"=""[1524500]""","=""(487309100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Ta,71,"=""""","=""""","=""0.02059543""","=""0.00000012""","=""""","=""485545000""","=""""","=""""","=""""","=""""","=""""",,"=""[1524500]""","=""(487069200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Ta,73,"=""""","=""""","=""0.02068539""","=""0.00000006""","=""""","=""483432900""","=""""","=""1.6391e+08""","=""2.1029e-01""","=""2.8641e-04""","=""-0.37615""",AA,"=""0""","=""483432940""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ta,71,"=""""","=""""","=""0.02106571""","=""0.00000014""","=""""","=""474705000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""474705000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ta,71,"=""""","=""""","=""0.02107973""","=""0.00000013""","=""""","=""474389000""","=""""","=""""","=""""","=""""","=""""",,"=""[12919680]""","=""(487309100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Ta,71,"=""""","=""""","=""0.02108786""","=""0.00000014""","=""""","=""474206000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""474206400""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Ta,71,"=""""","=""""","=""0.02109039""","=""0.00000013""","=""""","=""474150000""","=""""","=""""","=""""","=""""","=""""",,"=""[12919680]""","=""(487069200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Ta,71,"=""""","=""""","=""0.02110617""","=""0.00000013""","=""""","=""473795000""","=""""","=""""","=""""","=""""","=""""",,"=""[1524500]""","=""(475319500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Ta,71,"=""""","=""""","=""0.02110735""","=""0.00000014""","=""""","=""473769000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""473768700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Ta,71,"=""""","=""""","=""0.02111342""","=""0.00000013""","=""""","=""473632000""","=""""","=""""","=""""","=""""","=""""",,"=""[12919680]""","=""(486552100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Ta,71,"=""""","=""""","=""0.02111975""","=""0.00000013""","=""""","=""473490000""","=""""","=""""","=""""","=""""","=""""",,"=""[1524500]""","=""(475014900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Ta,71,"=""""","=""""","=""0.02113201""","=""0.00000013""","=""""","=""473216000""","=""""","=""""","=""""","=""""","=""""",,"=""[1524500]""","=""(474740200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Ta,71,"=""""","=""""","=""0.02113249""","=""0.00000013""","=""""","=""473205000""","=""""","=""""","=""""","=""""","=""""",,"=""[1524500]""","=""(474729400)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Ta,71,"=""""","=""""","=""0.02113838""","=""0.00000014""","=""""","=""473073000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""473073100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Ta,73,"=""""","=""""","=""0.02124162""","=""0.00000006""","=""""","=""470774000""","=""""","=""1.8278e+08""","=""1.2364e-01""","=""1.7293e-04""","=""-0.60680""",AA,"=""0""","=""470773960""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ta,71,"=""""","=""""","=""0.02160568""","=""0.00000014""","=""""","=""462841000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""462841200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
