element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Tb,65,"=""""","=""""","=""0.0227327""","=""0.0000003""","=""""","=""439894000""","=""""","=""2.8966e+07""","=""4.4883e-02""","=""6.7180e-05""","=""-1.04689""",AA,"=""0""","=""439894000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Tb,65,"=""""","=""""","=""0.0228504""","=""0.0000003""","=""""","=""437630000""","=""""","=""2.8398e+07""","=""2.2229e-02""","=""3.3444e-05""","=""-1.35204""",AA,"=""0""","=""437630000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Tb,65,"=""""","=""""","=""0.0266789""","=""0.0000005""","=""""","=""374829000""","=""""","=""1.0502e+08""","=""2.2412e-01""","=""3.9369e-04""","=""-0.34849""",AA,"=""0""","=""374828720""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Tb,63,"=""""","=""""","=""0.0267349""","=""0.0000004""","=""""","=""374044000""","=""""","=""""","=""""","=""""","=""""",,"=""[1266900]""","=""(375310500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Tb,63,"=""""","=""""","=""0.0267504""","=""0.0000004""","=""""","=""373826000""","=""""","=""""","=""""","=""""","=""""",,"=""[1266900]""","=""(375093200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Tb,63,"=""""","=""""","=""0.0272088""","=""0.0000004""","=""""","=""367529000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""367528800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Tb,63,"=""""","=""""","=""0.0272279""","=""0.0000004""","=""""","=""367270000""","=""""","=""""","=""""","=""""","=""""",,"=""[8040800]""","=""(375310500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Tb,65,"=""""","=""""","=""0.0272317""","=""0.0000005""","=""""","=""367220000""","=""""","=""1.1427e+08""","=""1.2704e-01""","=""2.2779e-04""","=""-0.59502""",AA,"=""0""","=""367219500""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Tb,63,"=""""","=""""","=""0.0272348""","=""0.0000004""","=""""","=""367177000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""367177300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
