element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Tc,43,"=""""","=""""","=""0.05397968""","=""0.00000005""","=""""","=""185254880""","=""""","=""5.6461e+06""","=""4.9328e-02""","=""1.7532e-04""","=""-1.00588""",AA,"=""0""","=""185254880""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Tc,43,"=""""","=""""","=""0.05409524""","=""0.00000007""","=""""","=""184859160""","=""""","=""5.6104e+06""","=""2.4613e-02""","=""8.7666e-05""","=""-1.30780""",AA,"=""0""","=""184859160""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Tc,43,"=""""","=""""","=""0.06371584""","=""0.00000008""","=""""","=""156946850""","=""""","=""2.0868e+07""","=""2.5401e-01""","=""1.0656e-03""","=""-0.29412""",AA,"=""0""","=""156946846""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Tc,43,"=""""","=""""","=""0.06426176""","=""0.00000008""","=""""","=""155613540""","=""""","=""2.1620e+07""","=""1.3385e-01""","=""5.6633e-04""","=""-0.57236""",AA,"=""0""","=""155613537""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Tc,41,"=""""","=""""","=""0.0650467""","=""0.0000003""","=""""","=""153735700""","=""""","=""""","=""""","=""""","=""""",,"=""[715420]""","=""(154451080)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Tc,41,"=""""","=""""","=""0.0651216""","=""0.0000003""","=""""","=""153558900""","=""""","=""""","=""""","=""""","=""""",,"=""[715420]""","=""(154274290)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Tc,41,"=""""","=""""","=""0.0654771""","=""0.0000004""","=""""","=""152725200""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""152725230""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Tc,41,"=""""","=""""","=""0.0655251""","=""0.0000004""","=""""","=""152613400""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""152613350""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Tc,41,"=""""","=""""","=""0.0655255""","=""0.0000003""","=""""","=""152612300""","=""""","=""""","=""""","=""""","=""""",,"=""[1838810]""","=""(154451080)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Tc,41,"=""""","=""""","=""0.0656015""","=""0.0000003""","=""""","=""152435500""","=""""","=""""","=""""","=""""","=""""",,"=""[1838810]""","=""(154274290)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Tc,41,"=""""","=""""","=""0.0656185""","=""0.0000004""","=""""","=""152396100""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""152396060""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Tc,41,"=""""","=""""","=""0.0656282""","=""0.0000003""","=""""","=""152373500""","=""""","=""""","=""""","=""""","=""""",,"=""[715420]""","=""(153088880)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Tc,41,"=""""","=""""","=""0.0656633""","=""0.0000003""","=""""","=""152292100""","=""""","=""""","=""""","=""""","=""""",,"=""[715420]""","=""(153007490)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Tc,41,"=""""","=""""","=""0.0657106""","=""0.0000003""","=""""","=""152182400""","=""""","=""""","=""""","=""""","=""""",,"=""[1838810]""","=""(154021180)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Tc,41,"=""""","=""""","=""0.0657218""","=""0.0000003""","=""""","=""152156500""","=""""","=""""","=""""","=""""","=""""",,"=""[715420]""","=""(152871940)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Tc,41,"=""""","=""""","=""0.0657672""","=""0.0000003""","=""""","=""152051500""","=""""","=""""","=""""","=""""","=""""",,"=""[715420]""","=""(152766890)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Tc,41,"=""""","=""""","=""0.0657920""","=""0.0000004""","=""""","=""151994300""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""151994270""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Tc,41,"=""""","=""""","=""0.0660149""","=""0.0000004""","=""""","=""151480900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""151480890""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
