element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Te,52,"=""""","=""""","=""0.03642295""","=""0.00000006""","=""""","=""274552200""","=""""","=""1.2001e+07""","=""4.7736e-02""","=""1.1448e-04""","=""-1.02012""",AA,"=""0""","=""274552200""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Te,52,"=""""","=""""","=""0.03653922""","=""0.00000007""","=""""","=""273678500""","=""""","=""1.1877e+07""","=""2.3773e-02""","=""5.7193e-05""","=""-1.32289""",AA,"=""0""","=""273678500""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Te,52,"=""""","=""""","=""0.04290607""","=""0.00000003""","=""""","=""233067260""","=""""","=""4.4063e+07""","=""2.4322e-01""","=""6.8711e-04""","=""-0.31297""",AA,"=""0""","=""233067261""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Te,52,"=""""","=""""","=""0.04345443""","=""0.00000003""","=""""","=""230126140""","=""""","=""4.6440e+07""","=""1.3147e-01""","=""3.7615e-04""","=""-0.58015""",AA,"=""0""","=""230126137""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Te,50,"=""""","=""""","=""0.04346227""","=""0.00000021""","=""""","=""230084600""","=""""","=""""","=""""","=""""","=""""",,"=""[917670]""","=""(231002300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Te,50,"=""""","=""""","=""0.04349804""","=""0.00000021""","=""""","=""229895400""","=""""","=""""","=""""","=""""","=""""",,"=""[917670]""","=""(230813100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Te,50,"=""""","=""""","=""0.0439161""","=""0.0000003""","=""""","=""227706900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""227706900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Te,50,"=""""","=""""","=""0.04394933""","=""0.00000021""","=""""","=""227534800""","=""""","=""""","=""""","=""""","=""""",,"=""[3467550]""","=""(231002300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Te,50,"=""""","=""""","=""0.0439524""","=""0.0000003""","=""""","=""227519100""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""227519100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Te,50,"=""""","=""""","=""0.04398591""","=""0.00000021""","=""""","=""227345600""","=""""","=""""","=""""","=""""","=""""",,"=""[3467550]""","=""(230813100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Te,50,"=""""","=""""","=""0.0440067""","=""0.0000003""","=""""","=""227238300""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""227238300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Te,50,"=""""","=""""","=""0.04400773""","=""0.00000021""","=""""","=""227232800""","=""""","=""""","=""""","=""""","=""""",,"=""[917670]""","=""(228150500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Te,50,"=""""","=""""","=""0.04403239""","=""0.00000021""","=""""","=""227105500""","=""""","=""""","=""""","=""""","=""""",,"=""[917670]""","=""(228023200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Te,50,"=""""","=""""","=""0.04404903""","=""0.00000021""","=""""","=""227019800""","=""""","=""""","=""""","=""""","=""""",,"=""[3467550]""","=""(230487300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Te,50,"=""""","=""""","=""0.04406297""","=""0.00000021""","=""""","=""226947900""","=""""","=""""","=""""","=""""","=""""",,"=""[917670]""","=""(227865600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Te,50,"=""""","=""""","=""0.04408261""","=""0.00000021""","=""""","=""226846800""","=""""","=""""","=""""","=""""","=""""",,"=""[917670]""","=""(227764500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
