element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ti,22,"=""""","=""""","=""0.192456400""","=""0.000000003""","=""""","=""51959820.5""","=""""","=""4.5713e+04""","=""2.5384e-03""","=""3.2166e-05""","=""-2.29441""",AA,"=""0.0""","=""(51959820.5)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ti,22,"=""""","=""""","=""0.194884529""","=""0.000000003""","=""""","=""51312436.3""","=""""","=""8.0327e+04""","=""9.1476e-03""","=""1.1738e-04""","=""-1.73766""",AA,"=""0.0""","=""(51312436.3)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ti,22,"=""""","=""""","=""0.194905699""","=""0.000000004""","=""""","=""51306863.1""","=""""","=""7.9756e+04""","=""4.5423e-03""","=""5.8291e-05""","=""-2.04170""",AA,"=""0.0""","=""(51306863.1)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ti,22,"=""""","=""""","=""0.199542821""","=""0.000000005""","=""""","=""50114556.7""","=""""","=""1.5934e+05""","=""1.9024e-02""","=""2.4994e-04""","=""-1.41968""",AA,"=""0.0""","=""(50114556.7)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ti,22,"=""""","=""""","=""0.199586196""","=""0.000000009""","=""""","=""50103665.6""","=""""","=""1.5851e+05""","=""9.4664e-03""","=""1.2440e-04""","=""-1.72278""",AA,"=""0.0""","=""(50103665.6)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ti,21,"=""0.2015""","=""""","=""0.20144106""","=""0.00000016""","=""0.0001""","=""49630000""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(49642313)""","=""1s2""","=""1S""","=""0""","=""1s.8p""","=""3P*""","=""1""",1,3,,"=""""","=""L6483""",
Ti,21,"=""0.2015""","=""""","=""0.20143059""","=""0.00000016""","=""0.0001""","=""49630000""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(49644893)""","=""1s2""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",1,3,,"=""""","=""L6483""",
Ti,21,"=""0.2026""","=""""","=""0.20237551""","=""0.00000017""","=""0.0002""","=""49360000""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(49413094)""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""""","=""L6483""",
Ti,21,"=""0.2026""","=""""","=""0.20239132""","=""0.00000017""","=""0.0002""","=""49360000""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(49409234)""","=""1s2""","=""1S""","=""0""","=""1s.7p""","=""3P*""","=""1""",1,3,,"=""""","=""L6483""",
Ti,21,"=""0.2041""","=""""","=""0.20387444""","=""0.00000017""","=""0.0002""","=""49000000""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(49049797)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""3P*""","=""1""",1,3,,"=""""","=""L6483""",
Ti,21,"=""0.2041""","=""""","=""0.20384888""","=""0.00000017""","=""0.0003""","=""49000000""","=""""","=""""","=""""","=""""","=""""",,"=""0.0""","=""(49055948)""","=""1s2""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""""","=""L6483""",
Ti,21,"=""""","=""""","=""0.20634038""","=""0.00000017""","=""""","=""48463610""","=""""","=""1.32e+05""","=""2.53e-02""","=""1.72e-04""","=""-1.597""",C+,"=""0.0""","=""(48463611)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5297interp""","=""""",
Ti,21,"=""""","=""""","=""0.20638589""","=""0.00000017""","=""""","=""48452920""","=""""","=""8.4e+03""","=""1.6e-03""","=""1.1e-05""","=""-2.79""",E,"=""0.0""","=""(48452925)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""T5297interp""","=""""",
Ti,22,"=""""","=""""","=""0.210407962""","=""0.000000010""","=""""","=""47526718.6""","=""""","=""3.9066e+05""","=""5.1857e-02""","=""7.1842e-04""","=""-0.98416""",AA,"=""0.0""","=""(47526718.6)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ti,20,"=""0.2105""","=""0.0002""","=""0.21051""","=""0.00018""","="" 0.0000""","=""47510000""","=""""","=""""","=""""","=""""","=""""",,"=""385697""","=""47890000""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.5p""","=""2D""","=""5/2""",4,6,,"=""""","=""L6483""",
Ti,22,"=""""","=""""","=""0.210522380""","=""0.000000014""","=""""","=""47500888""","=""""","=""3.9012e+05""","=""2.5921e-02""","=""3.5930e-04""","=""-1.28532""",AA,"=""0.0""","=""(47500888)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ti,21,"=""""","=""""","=""0.21108953""","=""0.00000018""","=""""","=""47373260""","=""""","=""2.60e+05""","=""5.21e-02""","=""3.62e-04""","=""-1.283""",C+,"=""0.0""","=""(47373264)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5297interp""","=""""",
Ti,21,"=""""","=""""","=""0.21118351""","=""0.00000018""","=""""","=""47352180""","=""""","=""1.5e+04""","=""3.0e-03""","=""2.1e-05""","=""-2.52""",E,"=""0.0""","=""(47352182)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""3P*""","=""1""",1,3,,"=""T5297interp""","=""""",
Ti,21,"=""""","=""""","=""0.2112860""","=""0.0000004""","=""""","=""47329220""","=""""","=""6.76e-02""","=""1.36e-08""","=""7.09e-06""","=""-7.867""",C,"=""0.0""","=""(47329216)""","=""1s2""","=""1S""","=""0""","=""1s.4s""","=""3S""","=""1""",1,3,M1,"=""T2837""","=""""",
Ti,20,"=""0.2151""","=""0.0002""","=""0.21508""","=""0.00019""","=""0.0000""","=""46490000""","=""""","=""""","=""""","=""""","=""""",,"=""385697""","=""46880000""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.4p""","=""2D""","=""5/2""",4,6,,"=""""","=""L6483""",
Ti,21,"=""""","=""""","=""0.22212947""","=""0.00000020""","=""""","=""45018790""","=""""","=""6.35e+05""","=""1.41e-01""","=""1.03e-03""","=""-0.851""",C+,"=""0.0""","=""(45018790)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5297interp""","=""""",
Ti,21,"=""""","=""""","=""0.22238159""","=""0.00000020""","=""""","=""44967750""","=""""","=""3.8e+04""","=""8.5e-03""","=""6.2e-05""","=""-2.07""",E,"=""0.0""","=""(44967751)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",1,3,,"=""T5297interp""","=""""",
Ti,21,"=""""","=""""","=""0.2226576""","=""0.0000004""","=""""","=""44912000""","=""""","=""1.50e-01""","=""3.34e-08""","=""1.84e-05""","=""-7.476""",C,"=""0.0""","=""(44911999)""","=""1s2""","=""1S""","=""0""","=""1s.3s""","=""3S""","=""1""",1,3,M1,"=""T2837""","=""""",
Ti,20,"=""0.2243""","=""0.0002""","=""0.22430""","=""0.00020""","=""0.0000""","=""44580000""","=""""","=""""","=""""","=""""","=""""",,"=""[6465990]""","=""51050000""","=""1s2.3s""","=""2S""","=""1/2""","=""1s.2s.3p""","=""2P*""","=""3/2""",2,4,,"=""""","=""L6483""",
Ti,20,"=""0.2243""","=""0.0002""","=""0.22430""","=""0.00020""","=""0.0000""","=""44580000""","=""""","=""""","=""""","=""""","=""""",,"=""[6465990]""","=""51050000""","=""1s2.3s""","=""2S""","=""1/2""","=""1s.2s.3p""","=""2P*""","=""1/2""",2,2,,"=""""","=""L6483""",
Ti,20,"=""0.2243""","=""0.0002""","=""0.22430""","=""0.00020""","=""0.0000""","=""44580000""","=""""","=""""","=""""","=""""","=""""",,"=""[6465990]""","=""51050000""","=""1s2.3s""","=""2S""","=""1/2""","=""1s.2p.3s""","=""2P*""","=""1/2""",2,2,,"=""""","=""L6483""",
Ti,20,"=""0.2255""","=""0.0002""","=""0.22551""","=""0.00020""","="" 0.0000""","=""44350000""","=""""","=""""","=""""","=""""","=""""",,"=""385697""","=""44730000""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.3p""","=""2D""","=""5/2""",4,6,,"=""""","=""L6483""",
Ti,21,"=""""","=""""","=""0.24868""","=""0.00005""","=""""","=""40213000""","=""""","=""""","=""""","=""""","=""""",,"=""(38125326.6)""","=""(78338000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""1S""","=""0""",3,1,,"=""""","=""L11926""",
Ti,22,"=""""","=""""","=""0.249119622""","=""0.000000007""","=""""","=""40141358.3""","=""""","=""1.4583e+06""","=""2.7137e-01""","=""4.4512e-03""","=""-0.26541""",AA,"=""0.0""","=""(40141358.30)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Ti,21,"=""""","=""""","=""0.24924""","=""0.00005""","=""""","=""40122000""","=""""","=""""","=""""","=""""","=""""",,"=""(37923988.1)""","=""(78046000)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""1P*""","=""1""",3,3,,"=""""","=""L11926""",
Ti,22,"=""""","=""""","=""0.249661626""","=""0.000000007""","=""""","=""40054213.2""","=""""","=""1.4715e+06""","=""1.3751e-01""","=""2.2604e-03""","=""-0.56065""",AA,"=""0.0""","=""(40054213.20)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Ti,21,"=""""","=""""","=""0.24982""","=""0.00005""","=""""","=""40030000""","=""""","=""2.4e+06""","=""7.5e-02""","=""1.8e-03""","=""-0.65""",C,"=""(38308469.4)""","=""(78338000)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""1S""","=""0""",3,1,,"=""T4592,T3506""","=""L11926""",
Ti,21,"=""""","=""""","=""0.25025""","=""0.00005""","=""""","=""39960000""","=""""","=""""","=""""","=""""","=""""",,"=""(38125326.6)""","=""(78085000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""1D""","=""2""",3,5,,"=""""","=""L11926""",
Ti,21,"=""""","=""""","=""0.25054""","=""0.00005""","=""""","=""39914000""","=""""","=""1.4e+06""","=""4.0e-01""","=""3.3e-03""","=""-0.40""",C,"=""(38131659.4)""","=""(78046000)""","=""1s.2s""","=""1S""","=""0""","=""2s.2p""","=""1P*""","=""1""",1,3,,"=""T4592,T3506""","=""L11926""",
