element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Tl,81,"=""""","=""""","=""0.01402989""","=""0.00000011""","=""""","=""712764000""","=""""","=""6.8441e+07""","=""4.0394e-02""","=""3.7314e-05""","=""-1.09265""",AA,"=""0""","=""712764000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Tl,81,"=""""","=""""","=""0.01414966""","=""0.00000018""","=""""","=""706731000""","=""""","=""6.5683e+07""","=""1.9715e-02""","=""1.8368e-05""","=""-1.40417""",AA,"=""0""","=""706731000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Tl,79,"=""""","=""""","=""0.01616228""","=""0.00000011""","=""""","=""618725000""","=""""","=""""","=""""","=""""","=""""",,"=""[1820940]""","=""(620545500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01616923""","=""0.00000011""","=""""","=""618459000""","=""""","=""""","=""""","=""""","=""""",,"=""[1820940]""","=""(620279600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Tl,81,"=""""","=""""","=""0.01636314""","=""0.00000008""","=""""","=""611130000""","=""""","=""2.4271e+08""","=""1.9486e-01""","=""2.0993e-04""","=""-0.40926""",AA,"=""0""","=""611129690""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Tl,79,"=""""","=""""","=""0.01664633""","=""0.00000013""","=""""","=""600733000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""600732900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01665677""","=""0.00000012""","=""""","=""600356000""","=""""","=""""","=""""","=""""","=""""",,"=""[20189180]""","=""(620545500)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01666416""","=""0.00000012""","=""""","=""600090000""","=""""","=""""","=""""","=""""","=""""",,"=""[20189180]""","=""(620279600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01666566""","=""0.00000013""","=""""","=""600036000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""600036100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01667825""","=""0.00000012""","=""""","=""599583000""","=""""","=""""","=""""","=""""","=""""",,"=""[1820940]""","=""(601404100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01667971""","=""0.00000013""","=""""","=""599531000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""599530900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01668091""","=""0.00000012""","=""""","=""599488000""","=""""","=""""","=""""","=""""","=""""",,"=""[20189180]""","=""(619676700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01669035""","=""0.00000012""","=""""","=""599149000""","=""""","=""""","=""""","=""""","=""""",,"=""[1820940]""","=""(600969600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01669850""","=""0.00000012""","=""""","=""598856000""","=""""","=""""","=""""","=""""","=""""",,"=""[1820940]""","=""(600677000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01669990""","=""0.00000012""","=""""","=""598806000""","=""""","=""""","=""""","=""""","=""""",,"=""[1820940]""","=""(600626800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01670201""","=""0.00000013""","=""""","=""598730000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""598730200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Tl,81,"=""""","=""""","=""0.01692339""","=""0.00000008""","=""""","=""590898000""","=""""","=""2.7859e+08""","=""1.1962e-01""","=""1.3329e-04""","=""-0.62118""",AA,"=""0""","=""590898300""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Tl,79,"=""""","=""""","=""0.01719099""","=""0.00000014""","=""""","=""581700000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""581700000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01720534""","=""0.00000013""","=""""","=""581215000""","=""""","=""""","=""""","=""""","=""""",,"=""[20189180]""","=""(601404100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01721821""","=""0.00000013""","=""""","=""580780000""","=""""","=""""","=""""","=""""","=""""",,"=""[20189180]""","=""(600969600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01722689""","=""0.00000013""","=""""","=""580488000""","=""""","=""""","=""""","=""""","=""""",,"=""[20189180]""","=""(600677000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01722838""","=""0.00000013""","=""""","=""580438000""","=""""","=""""","=""""","=""""","=""""",,"=""[20189180]""","=""(600626800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01722885""","=""0.00000013""","=""""","=""580422000""","=""""","=""""","=""""","=""""","=""""",,"=""[1820940]""","=""(582242800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Tl,79,"=""""","=""""","=""0.01723715""","=""0.00000014""","=""""","=""580142000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""580142200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
