element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Tm,69,"=""""","=""""","=""0.01998679""","=""0.00000007""","=""""","=""500330500""","=""""","=""3.6624e+07""","=""4.3867e-02""","=""5.7728e-05""","=""-1.05683""",AA,"=""0""","=""500330500""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Tm,69,"=""""","=""""","=""0.02010487""","=""0.00000012""","=""""","=""497392000""","=""""","=""3.5759e+07""","=""2.1669e-02""","=""2.8685e-05""","=""-1.36312""",AA,"=""0""","=""497392000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Tm,67,"=""""","=""""","=""0.02339295""","=""0.00000013""","=""""","=""427479200""","=""""","=""""","=""""","=""""","=""""",,"=""[1390920]""","=""(428870100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02340544""","=""0.00000013""","=""""","=""427251100""","=""""","=""""","=""""","=""""","=""""",,"=""[1390920]""","=""(428642000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Tm,69,"=""""","=""""","=""0.02342395""","=""0.00000005""","=""""","=""426913600""","=""""","=""1.3215e+08""","=""2.1740e-01""","=""3.3530e-04""","=""-0.36171""",AA,"=""0""","=""426913560""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Tm,67,"=""""","=""""","=""0.02387057""","=""0.00000015""","=""""","=""418926000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""418925900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02388693""","=""0.00000014""","=""""","=""418638900""","=""""","=""""","=""""","=""""","=""""",,"=""[10231190]""","=""(428870100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02389450""","=""0.00000015""","=""""","=""418506000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""418506300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02389996""","=""0.00000014""","=""""","=""418410800""","=""""","=""""","=""""","=""""","=""""",,"=""[10231190]""","=""(428642000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02391665""","=""0.00000013""","=""""","=""418118700""","=""""","=""""","=""""","=""""","=""""",,"=""[1390920]""","=""(419509600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02391771""","=""0.00000015""","=""""","=""418100000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""418100300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02392725""","=""0.00000014""","=""""","=""417933500""","=""""","=""""","=""""","=""""","=""""",,"=""[10231190]""","=""(428164700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02393136""","=""0.00000013""","=""""","=""417861800""","=""""","=""""","=""""","=""""","=""""",,"=""[1390920]""","=""(419252700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02394544""","=""0.00000013""","=""""","=""417616100""","=""""","=""""","=""""","=""""","=""""",,"=""[1390920]""","=""(419007000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02394751""","=""0.00000013""","=""""","=""417579900""","=""""","=""""","=""""","=""""","=""""",,"=""[1390920]""","=""(418970800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02395482""","=""0.00000015""","=""""","=""417453000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""417452600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Tm,69,"=""""","=""""","=""0.02397840""","=""0.00000006""","=""""","=""417042100""","=""""","=""1.4550e+08""","=""1.2542e-01""","=""1.9801e-04""","=""-0.60060""",AA,"=""0""","=""417042080""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Tm,67,"=""""","=""""","=""0.02440845""","=""0.00000015""","=""""","=""409694000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""409694200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02443325""","=""0.00000014""","=""""","=""409278400""","=""""","=""""","=""""","=""""","=""""",,"=""[10231190]""","=""(419509600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02444859""","=""0.00000014""","=""""","=""409021500""","=""""","=""""","=""""","=""""","=""""",,"=""[10231190]""","=""(419252700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02445916""","=""0.00000014""","=""""","=""408844800""","=""""","=""""","=""""","=""""","=""""",,"=""[1390920]""","=""(410235700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02446329""","=""0.00000014""","=""""","=""408775800""","=""""","=""""","=""""","=""""","=""""",,"=""[10231190]""","=""(419007000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02446545""","=""0.00000014""","=""""","=""408739600""","=""""","=""""","=""""","=""""","=""""",,"=""[10231190]""","=""(418970800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02447412""","=""0.00000016""","=""""","=""408595000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""408594900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02447781""","=""0.00000016""","=""""","=""408533000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""408533300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02458543""","=""0.00000018""","=""""","=""406745000""","=""""","=""""","=""""","=""""","=""""",,"=""[1390920]""","=""(408135900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02499972""","=""0.00000014""","=""""","=""400004500""","=""""","=""""","=""""","=""""","=""""",,"=""[10231190]""","=""(410235700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Tm,67,"=""""","=""""","=""0.02513165""","=""0.00000018""","=""""","=""397905000""","=""""","=""""","=""""","=""""","=""""",,"=""[10231190]""","=""(408135900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Tm,69,"=""""","=""""","=""0.1200715""","=""0.0000010""","=""""","=""83283700""","=""""","=""1.3580e+07""","=""5.8704e-01""","=""4.6410e-03""","=""0.06970""",AA,"=""(417042080)""","=""(500325760)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Tm,69,"=""""","=""""","=""0.1202749""","=""0.0000024""","=""""","=""83142900""","=""""","=""4.5550e+06""","=""1.9757e-01""","=""1.5646e-03""","=""-0.40324""",AA,"=""(417187600)""","=""(500330500)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Tm,69,"=""""","=""""","=""0.124386""","=""0.000005""","=""""","=""80395000""","=""""","=""5.6930e+05""","=""1.3205e-02""","=""1.0815e-04""","=""-1.57823""",AA,"=""(417042080)""","=""(497437000)""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Tm,69,"=""""","=""""","=""0.124681""","=""0.000005""","=""""","=""80204000""","=""""","=""6.1151e+06""","=""1.4252e-01""","=""1.1700e-03""","=""-0.54510""",AA,"=""(417187600)""","=""(497392000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Tm,69,"=""""","=""""","=""0.1346452""","=""0.0000013""","=""""","=""74269300""","=""""","=""1.4494e+07""","=""5.9091e-01""","=""1.0477e-02""","=""0.37358""",AA,"=""(426913560)""","=""(501182830)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Tm,69,"=""""","=""""","=""0.1362171""","=""0.0000013""","=""""","=""73412200""","=""""","=""2.4005e+06""","=""6.6775e-02""","=""1.1978e-03""","=""-0.57332""",AA,"=""(426913560)""","=""(500325760)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Tm,69,"=""""","=""""","=""0.141797""","=""0.000006""","=""""","=""70523000""","=""""","=""1.7728e+06""","=""2.6719e-02""","=""4.9892e-04""","=""-0.97111""",AA,"=""(426913560)""","=""(497437000)""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Tm,67,"=""0.977403""","=""0.000020""","=""0.977403""","=""0.000020""","="" 0.000000""","=""10231190""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""10231190""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""3/2""",2,4,,"=""""","=""u57""",
Tm,69,"=""""","=""""","=""1.028176""","=""0.000012""","=""""","=""9725960""","=""""","=""3.1919e+04""","=""1.0117e-01""","=""6.8492e-03""","=""-0.69390""",AA,"=""(417187600)""","=""(426913560)""","=""2s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Tm,67,"=""7.1895""","=""0.0010""","=""7.1895""","=""0.0010""","=""0.0000""","=""1390920""","=""j""","=""""","=""""","=""""","=""""",,"=""0""","=""1390920""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.2p""","=""2P*""","=""1/2""",2,2,,"=""""","=""u57""",
Tm,69,"=""""","=""""","=""68.72""","=""0.06""","=""""","=""145520""","=""""","=""""","=""""","=""""","=""""",,"=""(417042080)""","=""(417187600)""","=""2p""","=""2P*""","=""1/2""","=""2s""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Tm,3,"=""209.911""","=""""","=""""","=""""","=""""","=""47624.1""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""210.710""","=""""","=""""","=""""","=""""","=""47443.6""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""213.667""","=""""","=""""","=""""","=""""","=""46787.0""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""215.629""","=""""","=""""","=""""","=""""","=""46361.4""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""218.298""","=""""","=""""","=""""","=""""","=""45794.6""","=""800""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""218.391""","=""""","=""""","=""""","=""""","=""45775.1""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""218.594""","=""""","=""""","=""""","=""""","=""45732.6""","=""5000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""221.225""","=""""","=""""","=""""","=""""","=""45188.8""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""223.086""","=""""","=""""","=""""","=""""","=""44811.8""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""223.125""","=""""","=""""","=""""","=""""","=""44804.0""","=""400""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""224.334""","=""""","=""""","=""""","=""""","=""44562.6""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""224.398""","=""""","=""""","=""""","=""""","=""44549.9""","=""400""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""224.668""","=""""","=""""","=""""","=""""","=""44496.3""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""226.939""","=""""","=""""","=""""","=""""","=""44051.1""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""227.691""","=""""","=""""","=""""","=""""","=""43905.6""","=""1000""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""228.008""","=""""","=""""","=""""","=""""","=""43844.6""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""228.127""","=""""","=""""","=""""","=""""","=""43821.7""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""228.286""","=""""","=""""","=""""","=""""","=""43791.2""","=""100""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""228.298""","=""""","=""""","=""""","=""""","=""43788.9""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,2,"=""228.479""","=""""","=""""","=""""","=""""","=""43754.2""","=""360""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
Tm,3,"=""228.657""","=""""","=""""","=""""","=""""","=""43720.1""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""228.721""","=""""","=""""","=""""","=""""","=""43707.9""","=""400""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
Tm,3,"=""229.473""","=""""","=""""","=""""","=""""","=""43564.7""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L587""",
