element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
U,92,"=""""","=""""","=""0.01046188""","=""0.00000013""","=""""","=""955851000""","=""""","=""1.1149e+08""","=""3.6588e-02""","=""2.5203e-05""","=""-1.13563""",AA,"=""0""","=""955851000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
U,92,"=""""","=""""","=""0.0105836""","=""0.0000003""","=""""","=""944860000""","=""""","=""1.0424e+08""","=""1.7506e-02""","=""1.2199e-05""","=""-1.45579""",AA,"=""0""","=""944858000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
U,90,"=""""","=""""","=""0.01184676""","=""0.00000011""","=""""","=""844112000""","=""""","=""""","=""""","=""""","=""""",,"=""2263520""","=""(846376000)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01185107""","=""0.00000011""","=""""","=""843806000""","=""""","=""""","=""""","=""""","=""""",,"=""2263520""","=""(846069100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
U,92,"=""""","=""""","=""0.01213448""","=""0.00000009""","=""""","=""824098000""","=""""","=""3.8720e+08""","=""1.7095e-01""","=""1.3658e-04""","=""-0.46610""",AA,"=""0""","=""824097790""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
U,90,"=""""","=""""","=""0.01233229""","=""0.00000012""","=""""","=""810880000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""810879600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01233945""","=""0.00000012""","=""""","=""810409000""","=""""","=""""","=""""","=""""","=""""",,"=""35967400""","=""(846376000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01234413""","=""0.00000012""","=""""","=""810102000""","=""""","=""""","=""""","=""""","=""""",,"=""35967400""","=""(846069100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01234891""","=""0.00000012""","=""""","=""809788000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""809788100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01235536""","=""0.00000012""","=""""","=""809366000""","=""""","=""""","=""""","=""""","=""""",,"=""35967400""","=""(845333000)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01235640""","=""0.00000011""","=""""","=""809297000""","=""""","=""""","=""""","=""""","=""""",,"=""2263520""","=""(811560500)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01235820""","=""0.00000012""","=""""","=""809179000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""809179300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01236747""","=""0.00000011""","=""""","=""808573000""","=""""","=""""","=""""","=""""","=""""",,"=""2263520""","=""(810836100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01237218""","=""0.00000011""","=""""","=""808265000""","=""""","=""""","=""""","=""""","=""""",,"=""2263520""","=""(810528600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
U,90,"=""""","=""""","=""0.01237300""","=""0.00000012""","=""""","=""808212000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""808211500""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
