element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
V,23,"=""""","=""""","=""0.175979691""","=""0.000000004""","=""""","=""56824739.0""","=""""","=""5.4549e+04""","=""2.5326e-03""","=""2.9345e-05""","=""-2.29540""",AA,"=""0.0""","=""(56824739.0)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
V,23,"=""""","=""""","=""0.178198015""","=""0.000000004""","=""""","=""56117347.9""","=""""","=""9.5929e+04""","=""9.1336e-03""","=""1.0716e-04""","=""-1.73833""",AA,"=""0.0""","=""(56117347.9)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
V,23,"=""""","=""""","=""0.178219189""","=""0.000000005""","=""""","=""56110680.6""","=""""","=""9.5182e+04""","=""4.5324e-03""","=""5.3184e-05""","=""-2.04265""",AA,"=""0.0""","=""(56110680.6)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
V,23,"=""""","=""""","=""0.182455770""","=""0.000000005""","=""""","=""54807803.7""","=""""","=""1.9029e+05""","=""1.8994e-02""","=""2.2818e-04""","=""-1.42035""",AA,"=""0.0""","=""(54807803.7)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
V,23,"=""""","=""""","=""0.182499160""","=""0.000000008""","=""""","=""54794772.7""","=""""","=""1.8921e+05""","=""9.4477e-03""","=""1.1352e-04""","=""-1.72365""",AA,"=""0.0""","=""(54794772.7)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
V,22,"=""""","=""""","=""0.18821071""","=""0.00000018""","=""""","=""53131940""","=""""","=""1.57e+05""","=""2.50e-02""","=""1.55e-04""","=""-1.602""",C+,"=""0.0""","=""(53131939)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",1,3,,"=""T5297interp""","=""""",
V,22,"=""""","=""""","=""0.18825236""","=""0.00000018""","=""""","=""53120180""","=""""","=""1.2e+04""","=""1.9e-03""","=""1.2e-05""","=""-2.72""",E,"=""0.0""","=""(53120183)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""T5297interp""","=""""",
V,23,"=""""","=""""","=""0.192386320""","=""0.000000009""","=""""","=""51978747.7""","=""""","=""4.6652e+05""","=""5.1774e-02""","=""6.5583e-04""","=""-0.98486""",AA,"=""0.0""","=""(51978747.7)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
V,23,"=""""","=""""","=""0.192500778""","=""0.000000019""","=""""","=""51947842""","=""""","=""4.6581e+05""","=""2.5878e-02""","=""3.2800e-04""","=""-1.28604""",AA,"=""0.0""","=""(51947842)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
V,22,"=""""","=""""","=""0.19254879""","=""0.00000019""","=""""","=""51934890""","=""""","=""3.11e+05""","=""5.19e-02""","=""3.29e-04""","=""-1.285""",C+,"=""0.0""","=""(51934888)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5297interp""","=""""",
