element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
W,74,"=""""","=""""","=""0.01715598""","=""0.00000009""","=""""","=""582887000""","=""""","=""4.8157e+07""","=""4.2499e-02""","=""4.8007e-05""","=""-1.07059""",AA,"=""0""","=""582887300""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
W,74,"=""""","=""""","=""0.01727471""","=""0.00000015""","=""""","=""578881000""","=""""","=""4.6732e+07""","=""2.0907e-02""","=""2.3780e-05""","=""-1.37868""",AA,"=""0""","=""578881000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
W,72,"=""""","=""""","=""0.01995333""","=""0.00000012""","=""""","=""501169000""","=""""","=""""","=""""","=""""","=""""",,"=""[1559430]""","=""(502728800)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
W,72,"=""""","=""""","=""0.01996301""","=""0.00000012""","=""""","=""500926000""","=""""","=""""","=""""","=""""","=""""",,"=""[1559430]""","=""(502485900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
W,74,"=""""","=""""","=""0.02006850""","=""0.00000006""","=""""","=""498293300""","=""""","=""1.7262e+08""","=""2.0845e-01""","=""2.7544e-04""","=""-0.37997""",AA,"=""0""","=""498293270""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
W,73,"=""""","=""""","=""0.0204138""","=""0.0000007""","=""""","=""489864000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""489863800""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""""","=""L8473""",
W,72,"=""""","=""""","=""0.02043439""","=""0.00000014""","=""""","=""489371000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""489371100""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
W,72,"=""""","=""""","=""0.02044788""","=""0.00000013""","=""""","=""489048000""","=""""","=""""","=""""","=""""","=""""",,"=""[13680540]""","=""(502728800)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
W,72,"=""""","=""""","=""0.02045613""","=""0.00000014""","=""""","=""488851000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""488850900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
W,72,"=""""","=""""","=""0.02045804""","=""0.00000013""","=""""","=""488805000""","=""""","=""""","=""""","=""""","=""""",,"=""[13680540]""","=""(502485900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
