element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Xe,54,"=""""","=""""","=""0.03366064""","=""0.00000005""","=""""","=""297082900""","=""""","=""1.3935e+07""","=""4.7341e-02""","=""1.0492e-04""","=""-1.02373""",AA,"=""0""","=""297082900""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Xe,54,"=""""","=""""","=""0.03377710""","=""0.00000008""","=""""","=""296058600""","=""""","=""1.3775e+07""","=""2.3561e-02""","=""5.2400e-05""","=""-1.32677""",AA,"=""0""","=""296058600""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Xe,54,"=""0.039639""","=""0.000013""","=""0.03963189""","=""0.00000003""","=""0.000007""","=""252280000""","=""""","=""5.1078e+07""","=""2.4055e-01""","=""6.2772e-04""","=""-0.31776""",AA,"=""0""","=""252322059""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7264""",
Xe,52,"=""""","=""""","=""0.04007907""","=""0.00000019""","=""""","=""249506800""","=""""","=""""","=""""","=""""","=""""",,"=""[966530]""","=""(250473300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Xe,52,"=""""","=""""","=""0.04011005""","=""0.00000019""","=""""","=""249314100""","=""""","=""""","=""""","=""""","=""""",,"=""[966530]""","=""(250280600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Xe,54,"=""0.040192""","=""0.000013""","=""0.04018086""","=""0.00000003""","=""0.000011""","=""248810000""","=""""","=""5.4068e+07""","=""1.3087e-01""","=""3.4623e-04""","=""-0.58213""",AA,"=""0""","=""248874716""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L7264""",
Xe,53,"=""0.0404774""","=""0.0000005""","=""0.04047795""","=""0.00000005""","=""-0.0000006""","=""247051000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""247048069.9""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""""","=""L7282""",
Xe,52,"=""""","=""""","=""0.04053695""","=""0.00000023""","=""""","=""246688500""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""246688500""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Xe,52,"=""""","=""""","=""0.04056745""","=""0.00000020""","=""""","=""246503100""","=""""","=""""","=""""","=""""","=""""",,"=""[3970230]""","=""(250473300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Xe,52,"=""""","=""""","=""0.04057121""","=""0.00000023""","=""""","=""246480200""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""246480200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Xe,52,"=""""","=""""","=""0.04059918""","=""0.00000020""","=""""","=""246310400""","=""""","=""""","=""""","=""""","=""""",,"=""[3970230]""","=""(250280600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Xe,52,"=""0.040615""","=""0.000005""","=""0.04061983""","=""0.00000023""","=""-0.000005""","=""246220000""","=""g""","=""""","=""""","=""""","=""""",,"=""0""","=""246185200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""L22456,L15515c164""",
Xe,52,"=""""","=""""","=""0.04062023""","=""0.00000020""","=""""","=""246182800""","=""""","=""""","=""""","=""""","=""""",,"=""[966530]""","=""(247149300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Xe,52,"=""""","=""""","=""0.04064313""","=""0.00000020""","=""""","=""246044100""","=""""","=""""","=""""","=""""","=""""",,"=""[966530]""","=""(247010600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Xe,52,"=""""","=""""","=""0.04065572""","=""0.00000020""","=""""","=""245967900""","=""""","=""""","=""""","=""""","=""""",,"=""[3970230]""","=""(249938100)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Xe,52,"=""""","=""""","=""0.04067040""","=""0.00000020""","=""""","=""245879100""","=""""","=""""","=""""","=""""","=""""",,"=""[966530]""","=""(246845600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Xe,52,"=""""","=""""","=""0.04068650""","=""0.00000020""","=""""","=""245781800""","=""""","=""""","=""""","=""""","=""""",,"=""[966530]""","=""(246748300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Xe,52,"=""""","=""""","=""0.04070122""","=""0.00000023""","=""""","=""245692900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""245692900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Xe,53,"=""0.0410457""","=""0.0000005""","=""0.04104585""","=""0.00000005""","=""-0.0000002""","=""243631000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""243629987.5""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",1,3,,"=""""","=""L7283""",
Xe,52,"=""0.041061""","=""0.000011""","=""0.04106963""","=""0.00000022""","=""-0.000009""","=""243540000""","=""g""","=""""","=""""","=""""","=""""",,"=""0""","=""243488900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""L22456,L15492""",
Xe,52,"=""""","=""""","=""0.04112196""","=""0.00000020""","=""""","=""243179100""","=""""","=""""","=""""","=""""","=""""",,"=""[3970230]""","=""(247149300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
