element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Y,39,"=""""","=""""","=""0.060380720""","=""0.000000009""","=""""","=""165615780""","=""""","=""4.3986e+05""","=""2.4042e-03""","=""9.5582e-06""","=""-2.31800""",AA,"=""0""","=""165615780""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Y,39,"=""""","=""""","=""0.061126873""","=""0.000000010""","=""""","=""163594170""","=""""","=""7.8821e+05""","=""8.8307e-03""","=""3.5541e-05""","=""-1.75298""",AA,"=""0""","=""163594170""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Y,39,"=""""","=""""","=""0.061148159""","=""0.000000011""","=""""","=""163537220""","=""""","=""7.6967e+05""","=""4.3145e-03""","=""1.7371e-05""","=""-2.06404""",AA,"=""0""","=""163537220""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Y,39,"=""""","=""""","=""0.062574186""","=""0.000000015""","=""""","=""159810310""","=""""","=""1.5636e+06""","=""1.8357e-02""","=""7.5631e-05""","=""-1.43517""",AA,"=""0""","=""159810310""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Y,39,"=""""","=""""","=""0.062617851""","=""0.000000021""","=""""","=""159698870""","=""""","=""1.5365e+06""","=""9.0322e-03""","=""3.7239e-05""","=""-1.74318""",AA,"=""0""","=""159698870""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Y,39,"=""""","=""""","=""0.06594695""","=""0.00000003""","=""""","=""151637040""","=""""","=""3.8295e+06""","=""4.9936e-02""","=""2.1683e-04""","=""-1.00055""",AA,"=""0""","=""151637040""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Y,39,"=""""","=""""","=""0.06606224""","=""0.00000004""","=""""","=""151372400""","=""""","=""3.8104e+06""","=""2.4930e-02""","=""1.0844e-04""","=""-1.30224""",AA,"=""0""","=""151372400""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Y,39,"=""""","=""""","=""0.077900226""","=""0.000000019""","=""""","=""128369330""","=""""","=""1.4189e+07""","=""2.5817e-01""","=""1.3242e-03""","=""-0.28706""",AA,"=""0""","=""128369331.8""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Y,39,"=""""","=""""","=""0.078445217""","=""0.000000019""","=""""","=""127477500""","=""""","=""1.4605e+07""","=""1.3474e-01""","=""6.9592e-04""","=""-0.56948""",AA,"=""0""","=""127477498""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Y,37,"=""""","=""""","=""0.0798307""","=""0.0000004""","=""""","=""125265100""","=""""","=""""","=""""","=""""","=""""",,"=""[633444]""","=""(125898590)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
