element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Yb,70,"=""""","=""""","=""0.01937233""","=""0.00000006""","=""""","=""516200300""","=""""","=""3.8748e+07""","=""4.3602e-02""","=""5.5615e-05""","=""-1.05947""",AA,"=""0""","=""516200300""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Yb,70,"=""""","=""""","=""0.01949056""","=""0.00000012""","=""""","=""513069000""","=""""","=""3.7790e+07""","=""2.1522e-02""","=""2.7619e-05""","=""-1.36609""",AA,"=""0""","=""513069000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Yb,68,"=""""","=""""","=""0.02264587""","=""0.00000013""","=""""","=""441582000""","=""""","=""""","=""""","=""""","=""""",,"=""[1423070]""","=""(443004700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02265772""","=""0.00000012""","=""""","=""441350600""","=""""","=""""","=""""","=""""","=""""",,"=""[1423070]""","=""(442773700)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Yb,70,"=""""","=""""","=""0.02269564""","=""0.00000006""","=""""","=""440613400""","=""""","=""1.3963e+08""","=""2.1566e-01""","=""3.2227e-04""","=""-0.36520""",AA,"=""0""","=""440613360""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Yb,68,"=""""","=""""","=""0.02312427""","=""0.00000015""","=""""","=""432446000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""432446000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02314001""","=""0.00000013""","=""""","=""432152000""","=""""","=""""","=""""","=""""","=""""",,"=""[10852790]""","=""(443004700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02314774""","=""0.00000015""","=""""","=""432008000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""432007700""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02315239""","=""0.00000013""","=""""","=""431920900""","=""""","=""""","=""""","=""""","=""""",,"=""[10852790]""","=""(442773700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02316884""","=""0.00000013""","=""""","=""431614100""","=""""","=""""","=""""","=""""","=""""",,"=""[1423070]""","=""(433037200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02316993""","=""0.00000015""","=""""","=""431594000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""431593900""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02317852""","=""0.00000013""","=""""","=""431433900""","=""""","=""""","=""""","=""""","=""""",,"=""[10852790]""","=""(442286700)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02318324""","=""0.00000013""","=""""","=""431346100""","=""""","=""""","=""""","=""""","=""""",,"=""[1423070]""","=""(432769200)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02319682""","=""0.00000013""","=""""","=""431093500""","=""""","=""""","=""""","=""""","=""""",,"=""[1423070]""","=""(432516600)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02319845""","=""0.00000013""","=""""","=""431063200""","=""""","=""""","=""""","=""""","=""""",,"=""[1423070]""","=""(432486300)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02320538""","=""0.00000015""","=""""","=""430934000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""430934500""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Yb,70,"=""""","=""""","=""0.02325052""","=""0.00000006""","=""""","=""430097900""","=""""","=""1.5422e+08""","=""1.2498e-01""","=""1.9133e-04""","=""-0.60211""",AA,"=""0""","=""430097910""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Yb,68,"=""""","=""""","=""0.02366267""","=""0.00000016""","=""""","=""422607000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""422606600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02368633""","=""0.00000013""","=""""","=""422184400""","=""""","=""""","=""""","=""""","=""""",,"=""[10852790]""","=""(433037200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02370138""","=""0.00000013""","=""""","=""421916400""","=""""","=""""","=""""","=""""","=""""",,"=""[10852790]""","=""(432769200)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02371196""","=""0.00000013""","=""""","=""421728000""","=""""","=""""","=""""","=""""","=""""",,"=""[1423070]""","=""(423151100)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02371558""","=""0.00000013""","=""""","=""421663800""","=""""","=""""","=""""","=""""","=""""",,"=""[10852790]""","=""(432516600)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",4,6,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02371728""","=""0.00000014""","=""""","=""421633500""","=""""","=""""","=""""","=""""","=""""",,"=""[10852790]""","=""(432486300)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02372639""","=""0.00000016""","=""""","=""421472000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""421471600""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02372945""","=""0.00000016""","=""""","=""421417000""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""421417200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p-""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Yb,68,"=""""","=""""","=""0.02383300""","=""0.00000017""","=""""","=""419586000""","=""""","=""""","=""""","=""""","=""""",,"=""[1423070]""","=""(421009400)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
