element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Zn,30,"=""""","=""""","=""0.102922365""","=""0.000000006""","=""""","=""97160612""","=""""","=""1.5646e+05""","=""2.4847e-03""","=""1.6838e-05""","=""-2.30370""",AA,"=""0""","=""97160612""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.104210360""","=""0.000000006""","=""""","=""95959749""","=""""","=""2.7702e+05""","=""9.0203e-03""","=""6.1892e-05""","=""-1.74375""",AA,"=""0""","=""95959749""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.104231577""","=""0.000000008""","=""""","=""95940216""","=""""","=""2.7328e+05""","=""4.4511e-03""","=""3.0547e-05""","=""-2.05050""",AA,"=""0""","=""95940216""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.106692058""","=""0.000000009""","=""""","=""93727689""","=""""","=""5.4953e+05""","=""1.8756e-02""","=""1.3176e-04""","=""-1.42582""",AA,"=""0""","=""93727689""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.106735544""","=""0.000000013""","=""""","=""93689502""","=""""","=""5.4411e+05""","=""9.2931e-03""","=""6.5310e-05""","=""-1.73081""",AA,"=""0""","=""93689502""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.112478421""","=""0.000000016""","=""""","=""88905942""","=""""","=""1.3467e+06""","=""5.1086e-02""","=""3.7834e-04""","=""-0.99067""",AA,"=""0""","=""88905942""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.11259319""","=""0.00000003""","=""""","=""88815322""","=""""","=""1.3431e+06""","=""2.5527e-02""","=""1.8924e-04""","=""-1.29197""",AA,"=""0""","=""88815322""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.133051420""","=""0.000000012""","=""""","=""75158912""","=""""","=""5.0124e+06""","=""2.6606e-01""","=""2.3308e-03""","=""-0.27400""",AA,"=""0""","=""75158912.5""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Zn,30,"=""""","=""""","=""0.133594638""","=""0.000000012""","=""""","=""74853303""","=""""","=""5.0980e+06""","=""1.3641e-01""","=""1.1999e-03""","=""-0.56413""",AA,"=""0""","=""74853303.4""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Zn,28,"=""""","=""""","=""0.1377665""","=""0.0000006""","=""""","=""72586600""","=""""","=""""","=""""","=""""","=""""",,"=""[462824]""","=""(73049420)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",2,2,,"=""""","=""""",
Zn,28,"=""""","=""""","=""0.1380792""","=""0.0000006""","=""""","=""72422200""","=""""","=""""","=""""","=""""","=""""",,"=""[462824]""","=""(72885020)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""3/2""",2,4,,"=""""","=""""",
