element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Zr,40,"=""""","=""""","=""0.06261633""","=""0.00000003""","=""""","=""159702750""","=""""","=""4.2352e+06""","=""4.9790e-02""","=""2.0527e-04""","=""-1.00183""",AA,"=""0""","=""159702750""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Zr,40,"=""""","=""""","=""0.06273168""","=""0.00000004""","=""""","=""159409080""","=""""","=""4.2128e+06""","=""2.4855e-02""","=""1.0266e-04""","=""-1.30356""",AA,"=""0""","=""159409080""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Zr,40,"=""""","=""""","=""0.073952567""","=""0.000000022""","=""""","=""135221810""","=""""","=""1.5683e+07""","=""2.5717e-01""","=""1.2522e-03""","=""-0.28875""",AA,"=""0""","=""135221809.7""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Zr,40,"=""""","=""""","=""0.074497782""","=""0.000000022""","=""""","=""134232180""","=""""","=""1.6169e+07""","=""1.3453e-01""","=""6.5988e-04""","=""-0.57016""",AA,"=""0""","=""134232184""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Zr,38,"=""""","=""""","=""0.0757108""","=""0.0000003""","=""""","=""132081600""","=""""","=""""","=""""","=""""","=""""",,"=""[653543]""","=""(132735110)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0758106""","=""0.0000003""","=""""","=""131907700""","=""""","=""""","=""""","=""""","=""""",,"=""[653543]""","=""(132561240)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",2,4,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0761316""","=""0.0000004""","=""""","=""131351500""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""131351520""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p+""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0761847""","=""0.0000004""","=""""","=""131259900""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""131259890""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0761857""","=""0.0000004""","=""""","=""131258200""","=""""","=""""","=""""","=""""","=""""",,"=""[1476932]""","=""(132735110)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2""","=""(1/2,0)""","=""1/2""",4,2,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0762868""","=""0.0000003""","=""""","=""131084300""","=""""","=""""","=""""","=""""","=""""",,"=""[1476932]""","=""(132561240)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""3/2""",4,4,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0762989""","=""0.0000004""","=""""","=""131063500""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""131063520""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""3/2""",2,4,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0763163""","=""0.0000003""","=""""","=""131033600""","=""""","=""""","=""""","=""""","=""""",,"=""[653543]""","=""(131687170)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0763549""","=""0.0000003""","=""""","=""130967400""","=""""","=""""","=""""","=""""","=""""",,"=""[653543]""","=""(131620900)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",2,2,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0764203""","=""0.0000004""","=""""","=""130855300""","=""""","=""""","=""""","=""""","=""""",,"=""[1476932]""","=""(132332240)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p+2.(2)""","=""(1/2,2)""","=""5/2""",4,6,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0764327""","=""0.0000004""","=""""","=""130834100""","=""""","=""""","=""""","=""""","=""""",,"=""[653543]""","=""(131487640)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-(1).2p+""","=""(1,3/2)""","=""5/2""",2,6,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0764920""","=""0.0000003""","=""""","=""130732700""","=""""","=""""","=""""","=""""","=""""",,"=""[653543]""","=""(131386220)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""3/2""",2,4,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0765208""","=""0.0000004""","=""""","=""130683500""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""130683490""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1).2p+""","=""(1,3/2)*""","=""5/2""",2,6,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0766755""","=""0.0000004""","=""""","=""130419800""","=""""","=""""","=""""","=""""","=""""",,"=""0""","=""130419790""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(0).2p-""","=""(0,1/2)*""","=""1/2""",2,2,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0767989""","=""0.0000004""","=""""","=""130210200""","=""""","=""""","=""""","=""""","=""""",,"=""[1476932]""","=""(131687170)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(0).2p+""","=""(0,3/2)""","=""3/2""",4,4,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0768380""","=""0.0000004""","=""""","=""130144000""","=""""","=""""","=""""","=""""","=""""",,"=""[1476932]""","=""(131620900)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p-.(1).2p+""","=""(1,3/2)""","=""1/2""",4,2,,"=""""","=""""",
Zr,38,"=""""","=""""","=""0.0768745""","=""0.0000004""","=""""","=""130082100""","=""""","=""""","=""""","=""""","=""""",,"=""[653543]""","=""(130735630)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p-2""","=""(1/2,0)""","=""1/2""",2,2,,"=""""","=""""",
